right_humerus-x;right_humerus-y;right_humerus-z;right_radius-x;right_radius-y;right_radius-z;pelvis-x;pelvis-y;pelvis-z;pelvis_right_femur-x;pelvis_right_femur-y;pelvis_right_femur-z;pelvis_left_femur-x;pelvis_left_femur-y;pelvis_left_femur-z;left_femur_tibia-x;left_femur_tibia-y;left_femur_tibia-z;spine1-x;spine1-y;spine1-z;spine2-x;spine2-y;spine2-z;left_humerus-x;left_humerus-y;left_humerus-z;left_radius-x;left_radius-y;left_radius-z;pelvis-x;pelvis-y;pelvis-z;pelvis_spine1-x;pelvis_spine1-y;pelvis_spine1-z;pelvis-x;pelvis-y;pelvis-z;pelvis_left_femur-x;pelvis_left_femur-y;pelvis_left_femur-z;right_manubrium-x;right_manubrium-y;right_manubrium-z;right_clavicle-x;right_clavicle-y;right_clavicle-z;left_manubrium-x;left_manubrium-y;left_manubrium-z;left_clavicle-x;left_clavicle-y;left_clavicle-z;spine2-x;spine2-y;spine2-z;neck-x;neck-y;neck-z;right_clavicle-x;right_clavicle-y;right_clavicle-z;right_humerus-x;right_humerus-y;right_humerus-z;left_clavicle-x;left_clavicle-y;left_clavicle-z;left_humerus-x;left_humerus-y;left_humerus-z;pelvis_spine1-x;pelvis_spine1-y;pelvis_spine1-z;spine1-x;spine1-y;spine1-z;left_femur_tibia-x;left_femur_tibia-y;left_femur_tibia-z;left_tibia_foot-x;left_tibia_foot-y;left_tibia_foot-z;pelvis_right_femur-x;pelvis_right_femur-y;pelvis_right_femur-z;right_femur_tibia-x;right_femur_tibia-y;right_femur_tibia-z;right_femur_tibia-x;right_femur_tibia-y;right_femur_tibia-z;right_tibia_foot-x;right_tibia_foot-y;right_tibia_foot-z
-2.623;12.194;-0.02;-2.794;9.743;0.535;0.0;10.351;0.0;-1.064;9.965;-0.043;1.09;10.047;-0.053;0.723;5.707;-0.714;0.107;13.343;-0.084;0.164;15.447;-0.476;2.666;12.231;-0.357;2.65;9.813;0.113;0.0;10.351;0.0;-0.026;10.991;-0.326;0.0;10.351;0.0;1.09;10.047;-0.053;-0.454;14.965;0.377;-1.829;14.944;0.075;0.69;14.943;0.425;2.032;15.087;0.027;0.164;15.447;-0.476;0.225;16.325;1.014;-1.829;14.944;0.075;-2.623;12.194;-0.02;2.032;15.087;0.027;2.666;12.231;-0.357;-0.026;10.991;-0.326;0.107;13.343;-0.084;0.723;5.707;-0.714;0.197;1.191;-2.398;-1.064;9.965;-0.043;-0.884;5.649;0.82;-0.884;5.649;0.82;-0.816;1.432;-1.512
-2.587;12.187;0.127;-2.763;9.731;0.658;0.034;10.343;0.138;-1.031;9.96;0.098;1.123;10.036;0.081;0.752;5.701;-0.602;0.147;13.335;0.07;0.202;15.441;-0.31;2.709;12.227;-0.203;2.688;9.81;0.275;0.034;10.343;0.138;0.009;10.984;-0.186;0.034;10.343;0.138;1.123;10.036;0.081;-0.413;14.954;0.541;-1.789;14.935;0.243;0.73;14.932;0.586;2.072;15.08;0.188;0.202;15.441;-0.31;0.267;16.313;1.182;-1.789;14.935;0.243;-2.587;12.187;0.127;2.072;15.08;0.188;2.709;12.227;-0.203;0.009;10.984;-0.186;0.147;13.335;0.07;0.752;5.701;-0.602;0.219;1.195;-2.313;-1.031;9.96;0.098;-0.841;5.658;1.026;-0.841;5.658;1.026;-0.747;1.367;-1.165
-2.548;12.172;0.286;-2.735;9.709;0.779;0.07;10.328;0.288;-0.997;9.948;0.248;1.158;10.018;0.227;0.783;5.688;-0.488;0.19;13.318;0.243;0.244;15.427;-0.119;2.759;12.216;-0.024;2.73;9.803;0.469;0.07;10.328;0.288;0.046;10.97;-0.034;0.07;10.328;0.288;1.158;10.018;0.227;-0.37;14.933;0.729;-1.746;14.918;0.433;0.773;14.911;0.772;2.115;15.067;0.374;0.244;15.427;-0.119;0.312;16.293;1.378;-1.746;14.918;0.433;-2.548;12.172;0.286;2.115;15.067;0.374;2.759;12.216;-0.024;0.046;10.97;-0.034;0.19;13.318;0.243;0.783;5.688;-0.488;0.244;1.201;-2.245;-0.997;9.948;0.248;-0.797;5.667;1.265;-0.797;5.667;1.265;-0.654;1.264;-0.688
-2.508;12.149;0.46;-2.71;9.677;0.903;0.108;10.303;0.455;-0.96;9.926;0.414;1.195;9.99;0.391;0.814;5.668;-0.369;0.236;13.291;0.44;0.288;15.404;0.101;2.814;12.197;0.185;2.776;9.789;0.702;0.108;10.303;0.455;0.085;10.947;0.137;0.108;10.303;0.455;1.195;9.99;0.391;-0.324;14.9;0.945;-1.701;14.89;0.652;0.82;14.879;0.986;2.16;15.044;0.588;0.288;15.404;0.101;0.358;16.26;1.603;-1.701;14.89;0.652;-2.508;12.149;0.46;2.16;15.044;0.588;2.814;12.197;0.185;0.085;10.947;0.137;0.236;13.291;0.44;0.814;5.668;-0.369;0.273;1.208;-2.193;-0.96;9.926;0.414;-0.752;5.67;1.529;-0.752;5.67;1.529;-0.539;1.131;-0.075
-2.466;12.113;0.657;-2.686;9.632;1.035;0.149;10.264;0.645;-0.92;9.89;0.602;1.235;9.949;0.577;0.847;5.637;-0.238;0.285;13.25;0.666;0.334;15.367;0.353;2.875;12.165;0.427;2.827;9.764;0.978;0.149;10.264;0.645;0.128;10.91;0.332;0.149;10.264;0.645;1.235;9.949;0.577;-0.275;14.852;1.192;-1.653;14.848;0.904;0.869;14.831;1.23;2.207;15.009;0.832;0.334;15.367;0.353;0.408;16.212;1.861;-1.653;14.848;0.904;-2.466;12.113;0.657;2.207;15.009;0.832;2.875;12.165;0.427;0.128;10.91;0.332;0.285;13.25;0.666;0.847;5.637;-0.238;0.306;1.216;-2.155;-0.92;9.89;0.602;-0.707;5.66;1.811;-0.707;5.66;1.811;-0.41;0.989;0.665
-2.423;12.064;0.882;-2.662;9.575;1.185;0.193;10.211;0.864;-0.877;9.84;0.821;1.279;9.895;0.791;0.882;5.596;-0.086;0.335;13.195;0.924;0.38;15.316;0.639;2.938;12.12;0.704;2.883;9.729;1.293;0.193;10.211;0.864;0.172;10.861;0.557;0.193;10.211;0.864;1.279;9.895;0.791;-0.225;14.789;1.474;-1.604;14.792;1.19;0.919;14.77;1.506;2.255;14.961;1.107;0.38;15.316;0.639;0.458;16.149;2.154;-1.604;14.792;1.19;-2.423;12.064;0.882;2.255;14.961;1.107;2.938;12.12;0.704;0.172;10.861;0.557;0.335;13.195;0.924;0.882;5.596;-0.086;0.345;1.231;-2.127;-0.877;9.84;0.821;-0.661;5.632;2.106;-0.661;5.632;2.106;-0.278;0.87;1.481
-2.377;12.006;1.139;-2.635;9.51;1.36;0.24;10.149;1.12;-0.831;9.78;1.078;1.325;9.831;1.038;0.919;5.548;0.095;0.384;13.131;1.217;0.423;15.255;0.958;3.0;12.065;1.015;2.941;9.683;1.641;0.24;10.149;1.12;0.219;10.801;0.82;0.24;10.149;1.12;1.325;9.831;1.038;-0.177;14.717;1.79;-1.557;14.725;1.513;0.967;14.699;1.816;2.301;14.902;1.414;0.423;15.255;0.958;0.507;16.076;2.48;-1.557;14.725;1.513;-2.377;12.006;1.139;2.301;14.902;1.414;3.0;12.065;1.015;0.219;10.801;0.82;0.384;13.131;1.217;0.919;5.548;0.095;0.392;1.259;-2.105;-0.831;9.78;1.078;-0.611;5.585;2.404;-0.611;5.585;2.404;-0.153;0.79;2.282
-2.33;11.944;1.434;-2.605;9.444;1.571;0.288;10.083;1.418;-0.784;9.717;1.38;1.371;9.765;1.324;0.955;5.497;0.318;0.43;13.064;1.549;0.461;15.191;1.313;3.057;12.007;1.358;3.001;9.633;2.013;0.288;10.083;1.418;0.266;10.739;1.125;0.288;10.083;1.418;1.371;9.765;1.324;-0.132;14.642;2.142;-1.513;14.654;1.873;1.012;14.627;2.161;2.343;14.841;1.755;0.461;15.191;1.313;0.553;16.001;2.84;-1.513;14.654;1.873;-2.33;11.944;1.434;2.343;14.841;1.755;3.057;12.007;1.358;0.266;10.739;1.125;0.43;13.064;1.549;0.955;5.497;0.318;0.444;1.312;-2.078;-0.784;9.717;1.38;-0.555;5.521;2.702;-0.555;5.521;2.702;-0.035;0.74;2.995
-2.282;11.887;1.774;-2.569;9.385;1.828;0.337;10.025;1.762;-0.736;9.662;1.733;1.418;9.705;1.653;0.991;5.448;0.602;0.473;13.005;1.921;0.494;15.134;1.701;3.106;11.956;1.729;3.061;9.586;2.398;0.337;10.025;1.762;0.313;10.684;1.476;0.337;10.025;1.762;1.418;9.705;1.653;-0.09;14.576;2.531;-1.474;14.589;2.271;1.054;14.566;2.541;2.381;14.787;2.127;0.494;15.134;1.701;0.596;15.935;3.232;-1.474;14.589;2.271;-2.282;11.887;1.774;2.381;14.787;2.127;3.106;11.956;1.729;0.313;10.684;1.476;0.473;13.005;1.921;0.991;5.448;0.602;0.505;1.404;-2.028;-0.736;9.662;1.733;-0.495;5.448;2.993;-0.495;5.448;2.993;0.072;0.695;3.553
-2.233;11.845;2.161;-2.528;9.343;2.141;0.386;9.985;2.155;-0.689;9.626;2.137;1.465;9.662;2.028;1.03;5.409;0.966;0.513;12.965;2.331;0.52;15.096;2.121;3.145;11.924;2.12;3.116;9.552;2.784;0.386;9.985;2.155;0.361;10.646;1.874;0.386;9.985;2.155;1.465;9.662;2.028;-0.053;14.531;2.954;-1.439;14.542;2.706;1.091;14.527;2.952;2.415;14.753;2.53;0.52;15.096;2.121;0.634;15.892;3.653;-1.439;14.542;2.706;-2.233;11.845;2.161;2.415;14.753;2.53;3.145;11.924;2.12;0.361;10.646;1.874;0.513;12.965;2.331;1.03;5.409;0.966;0.58;1.547;-1.932;-0.689;9.626;2.137;-0.436;5.377;3.271;-0.436;5.377;3.271;0.163;0.638;3.908
