right_humerus-x;right_humerus-y;right_humerus-z;right_radius-x;right_radius-y;right_radius-z;pelvis-x;pelvis-y;pelvis-z;pelvis_right_femur-x;pelvis_right_femur-y;pelvis_right_femur-z;pelvis_left_femur-x;pelvis_left_femur-y;pelvis_left_femur-z;left_femur_tibia-x;left_femur_tibia-y;left_femur_tibia-z;spine1-x;spine1-y;spine1-z;spine2-x;spine2-y;spine2-z;left_humerus-x;left_humerus-y;left_humerus-z;left_radius-x;left_radius-y;left_radius-z;pelvis-x;pelvis-y;pelvis-z;pelvis_spine1-x;pelvis_spine1-y;pelvis_spine1-z;pelvis-x;pelvis-y;pelvis-z;pelvis_left_femur-x;pelvis_left_femur-y;pelvis_left_femur-z;right_manubrium-x;right_manubrium-y;right_manubrium-z;right_clavicle-x;right_clavicle-y;right_clavicle-z;left_manubrium-x;left_manubrium-y;left_manubrium-z;left_clavicle-x;left_clavicle-y;left_clavicle-z;spine2-x;spine2-y;spine2-z;neck-x;neck-y;neck-z;right_clavicle-x;right_clavicle-y;right_clavicle-z;right_humerus-x;right_humerus-y;right_humerus-z;left_clavicle-x;left_clavicle-y;left_clavicle-z;left_humerus-x;left_humerus-y;left_humerus-z;pelvis_spine1-x;pelvis_spine1-y;pelvis_spine1-z;spine1-x;spine1-y;spine1-z;left_femur_tibia-x;left_femur_tibia-y;left_femur_tibia-z;left_tibia_foot-x;left_tibia_foot-y;left_tibia_foot-z;pelvis_right_femur-x;pelvis_right_femur-y;pelvis_right_femur-z;right_femur_tibia-x;right_femur_tibia-y;right_femur_tibia-z;right_femur_tibia-x;right_femur_tibia-y;right_femur_tibia-z;right_tibia_foot-x;right_tibia_foot-y;right_tibia_foot-z
-2.58;12.209;0.05;-2.752;9.774;0.671;0.0;10.351;0.0;-1.07;9.98;-0.047;1.086;10.03;-0.041;0.734;5.657;-0.436;0.16;13.334;-0.063;0.244;15.443;-0.424;2.664;12.188;-0.362;2.633;9.748;-0.027;0.0;10.351;0.0;-0.014;10.988;-0.333;0.0;10.351;0.0;1.086;10.03;-0.041;-0.388;14.956;0.416;-1.759;14.953;0.098;0.755;14.92;0.474;2.102;15.048;0.088;0.244;15.443;-0.424;0.278;16.3;1.078;-1.759;14.953;0.098;-2.58;12.209;0.05;2.102;15.048;0.088;2.664;12.188;-0.362;-0.014;10.988;-0.333;0.16;13.334;-0.063;0.734;5.657;-0.436;0.234;1.06;-1.896;-1.07;9.98;-0.047;-0.835;5.694;0.941;-0.835;5.694;0.941;-0.736;1.446;-1.33
-2.54;12.207;0.143;-2.708;9.76;0.716;0.026;10.356;0.135;-1.045;9.989;0.086;1.111;10.032;0.094;0.752;5.673;-0.427;0.185;13.339;0.09;0.27;15.449;-0.259;2.701;12.195;-0.184;2.659;9.755;0.158;0.026;10.356;0.135;0.014;10.994;-0.196;0.026;10.356;0.135;1.111;10.032;0.094;-0.368;14.957;0.573;-1.737;14.954;0.245;0.774;14.922;0.64;2.126;15.052;0.27;0.27;15.449;-0.259;0.295;16.302;1.246;-1.737;14.954;0.245;-2.54;12.207;0.143;2.126;15.052;0.27;2.701;12.195;-0.184;0.014;10.994;-0.196;0.185;13.339;0.09;0.752;5.673;-0.427;0.243;1.116;-2.006;-1.045;9.989;0.086;-0.816;5.748;1.253;-0.816;5.748;1.253;-0.742;1.51;-1.04
-2.506;12.21;0.26;-2.674;9.75;0.771;0.053;10.366;0.277;-1.019;10.004;0.228;1.137;10.036;0.232;0.769;5.695;-0.418;0.211;13.347;0.264;0.293;15.461;-0.062;2.743;12.211;0.008;2.691;9.773;0.359;0.053;10.366;0.277;0.044;11.005;-0.05;0.053;10.366;0.277;1.137;10.036;0.232;-0.347;14.959;0.762;-1.715;14.958;0.428;0.795;14.926;0.834;2.15;15.062;0.477;0.293;15.461;-0.062;0.315;16.304;1.449;-1.715;14.958;0.428;-2.506;12.21;0.26;2.15;15.062;0.477;2.743;12.211;0.008;0.044;11.005;-0.05;0.211;13.347;0.264;0.769;5.695;-0.418;0.246;1.185;-2.121;-1.019;10.004;0.228;-0.787;5.819;1.584;-0.787;5.819;1.584;-0.704;1.521;-0.594
-2.476;12.212;0.407;-2.651;9.737;0.842;0.081;10.371;0.435;-0.994;10.015;0.387;1.163;10.037;0.382;0.784;5.719;-0.401;0.237;13.35;0.467;0.314;15.469;0.172;2.786;12.227;0.224;2.724;9.792;0.591;0.081;10.371;0.435;0.074;11.014;0.115;0.081;10.371;0.435;1.163;10.037;0.382;-0.326;14.954;0.988;-1.693;14.956;0.652;0.816;14.922;1.061;2.172;15.071;0.713;0.314;15.469;0.172;0.337;16.298;1.691;-1.693;14.956;0.652;-2.476;12.212;0.407;2.172;15.071;0.713;2.786;12.227;0.224;0.074;11.014;0.115;0.237;13.35;0.467;0.784;5.719;-0.401;0.242;1.263;-2.236;-0.994;10.015;0.387;-0.751;5.894;1.922;-0.751;5.894;1.922;-0.622;1.476;0.002
-2.457;12.203;0.582;-2.65;9.716;0.928;0.108;10.364;0.612;-0.969;10.014;0.565;1.188;10.025;0.549;0.797;5.733;-0.362;0.262;13.34;0.696;0.332;15.464;0.437;2.83;12.234;0.468;2.758;9.804;0.867;0.108;10.364;0.612;0.102;11.011;0.299;0.108;10.364;0.612;1.188;10.025;0.549;-0.306;14.933;1.244;-1.673;14.939;0.909;0.836;14.904;1.316;2.191;15.069;0.973;0.332;15.464;0.437;0.36;16.276;1.964;-1.673;14.939;0.909;-2.457;12.203;0.582;2.191;15.069;0.973;2.83;12.234;0.468;0.102;11.011;0.299;0.262;13.34;0.696;0.797;5.733;-0.362;0.237;1.339;-2.334;-0.969;10.014;0.565;-0.707;5.96;2.268;-0.707;5.96;2.268;-0.502;1.391;0.751
-2.447;12.181;0.79;-2.665;9.684;1.042;0.133;10.339;0.813;-0.945;9.995;0.766;1.211;9.996;0.739;0.806;5.733;-0.291;0.286;13.312;0.953;0.347;15.44;0.732;2.874;12.224;0.739;2.796;9.801;1.174;0.133;10.339;0.813;0.129;10.991;0.509;0.133;10.339;0.813;1.211;9.996;0.739;-0.287;14.892;1.531;-1.655;14.903;1.2;0.856;14.866;1.6;2.209;15.051;1.259;0.347;15.44;0.732;0.382;16.235;2.269;-1.655;14.903;1.2;-2.447;12.181;0.79;2.209;15.051;1.259;2.874;12.224;0.739;0.129;10.991;0.509;0.286;13.312;0.953;0.806;5.733;-0.291;0.231;1.407;-2.405;-0.945;9.995;0.766;-0.663;6.003;2.605;-0.663;6.003;2.605;-0.361;1.304;1.577
-2.439;12.144;1.034;-2.684;9.642;1.191;0.156;10.298;1.048;-0.925;9.96;1.002;1.231;9.95;0.963;0.815;5.718;-0.181;0.308;13.266;1.245;0.361;15.398;1.061;2.913;12.196;1.044;2.832;9.779;1.513;0.156;10.298;1.048;0.154;10.954;0.755;0.156;10.298;1.048;1.231;9.95;0.963;-0.269;14.834;1.852;-1.638;14.85;1.523;0.874;14.811;1.917;2.225;15.014;1.578;0.361;15.398;1.061;0.401;16.177;2.605;-1.638;14.85;1.523;-2.439;12.144;1.034;2.225;15.014;1.578;2.913;12.196;1.044;0.154;10.954;0.755;0.308;13.266;1.245;0.815;5.718;-0.181;0.233;1.472;-2.451;-0.925;9.96;1.002;-0.624;6.016;2.94;-0.624;6.016;2.94;-0.224;1.242;2.416
-2.424;12.094;1.312;-2.691;9.59;1.381;0.176;10.244;1.326;-0.907;9.913;1.281;1.249;9.892;1.232;0.824;5.689;-0.015;0.329;13.208;1.573;0.375;15.342;1.417;2.943;12.15;1.383;2.858;9.739;1.883;0.176;10.244;1.326;0.176;10.904;1.042;0.176;10.244;1.326;1.249;9.892;1.232;-0.252;14.765;2.201;-1.621;14.785;1.874;0.89;14.745;2.265;2.239;14.962;1.926;0.375;15.342;1.417;0.417;16.109;2.968;-1.621;14.785;1.874;-2.424;12.094;1.312;2.239;14.962;1.926;2.943;12.15;1.383;0.176;10.904;1.042;0.329;13.208;1.573;0.824;5.689;-0.015;0.252;1.541;-2.46;-0.907;9.913;1.281;-0.59;6.002;3.283;-0.59;6.002;3.283;-0.112;1.208;3.187
-2.398;12.044;1.638;-2.677;9.54;1.631;0.195;10.191;1.658;-0.891;9.868;1.614;1.265;9.833;1.554;0.834;5.656;0.225;0.35;13.151;1.943;0.39;15.287;1.808;2.964;12.099;1.753;2.879;9.69;2.26;0.195;10.191;1.658;0.198;10.855;1.382;0.195;10.191;1.658;1.265;9.833;1.554;-0.235;14.7;2.587;-1.604;14.725;2.259;0.908;14.683;2.65;2.256;14.907;2.311;0.39;15.287;1.808;0.431;16.046;3.363;-1.604;14.725;2.259;-2.398;12.044;1.638;2.256;14.907;2.311;2.964;12.099;1.753;0.198;10.855;1.382;0.35;13.151;1.943;0.834;5.656;0.225;0.297;1.636;-2.433;-0.891;9.868;1.614;-0.563;5.966;3.631;-0.563;5.966;3.631;-0.038;1.178;3.775
-2.366;12.01;2.015;-2.652;9.508;1.946;0.213;10.156;2.044;-0.875;9.84;2.003;1.28;9.791;1.931;0.844;5.629;0.559;0.373;13.113;2.354;0.409;15.25;2.23;2.982;12.059;2.151;2.906;9.646;2.642;0.213;10.156;2.044;0.219;10.822;1.773;0.213;10.156;2.044;1.28;9.791;1.931;-0.214;14.658;3.007;-1.583;14.684;2.678;0.929;14.642;3.069;2.276;14.864;2.727;0.409;15.25;2.23;0.447;16.005;3.787;-1.583;14.684;2.678;-2.366;12.01;2.015;2.276;14.864;2.727;2.982;12.059;2.151;0.219;10.822;1.773;0.373;13.113;2.354;0.844;5.629;0.559;0.367;1.773;-2.343;-0.875;9.84;2.003;-0.539;5.923;3.989;-0.539;5.923;3.989;-0.004;1.136;4.141
