right_humerus-x;right_humerus-y;right_humerus-z;right_radius-x;right_radius-y;right_radius-z;pelvis-x;pelvis-y;pelvis-z;pelvis_right_femur-x;pelvis_right_femur-y;pelvis_right_femur-z;pelvis_left_femur-x;pelvis_left_femur-y;pelvis_left_femur-z;left_femur_tibia-x;left_femur_tibia-y;left_femur_tibia-z;spine1-x;spine1-y;spine1-z;spine2-x;spine2-y;spine2-z;left_humerus-x;left_humerus-y;left_humerus-z;left_radius-x;left_radius-y;left_radius-z;pelvis-x;pelvis-y;pelvis-z;pelvis_spine1-x;pelvis_spine1-y;pelvis_spine1-z;pelvis-x;pelvis-y;pelvis-z;pelvis_left_femur-x;pelvis_left_femur-y;pelvis_left_femur-z;right_manubrium-x;right_manubrium-y;right_manubrium-z;right_clavicle-x;right_clavicle-y;right_clavicle-z;left_manubrium-x;left_manubrium-y;left_manubrium-z;left_clavicle-x;left_clavicle-y;left_clavicle-z;spine2-x;spine2-y;spine2-z;neck-x;neck-y;neck-z;right_clavicle-x;right_clavicle-y;right_clavicle-z;right_humerus-x;right_humerus-y;right_humerus-z;left_clavicle-x;left_clavicle-y;left_clavicle-z;left_humerus-x;left_humerus-y;left_humerus-z;pelvis_spine1-x;pelvis_spine1-y;pelvis_spine1-z;spine1-x;spine1-y;spine1-z;left_femur_tibia-x;left_femur_tibia-y;left_femur_tibia-z;left_tibia_foot-x;left_tibia_foot-y;left_tibia_foot-z;pelvis_right_femur-x;pelvis_right_femur-y;pelvis_right_femur-z;right_femur_tibia-x;right_femur_tibia-y;right_femur_tibia-z;right_femur_tibia-x;right_femur_tibia-y;right_femur_tibia-z;right_tibia_foot-x;right_tibia_foot-y;right_tibia_foot-z
-2.64;12.12;0.058;-2.756;9.662;0.595;0.0;10.351;0.0;-1.071;9.984;-0.049;1.085;10.028;-0.051;0.716;5.717;-0.876;0.059;13.336;0.025;0.025;15.459;-0.245;2.451;12.313;-0.357;2.718;9.864;-0.321;0.0;10.351;0.0;-0.013;10.994;-0.322;0.0;10.351;0.0;1.085;10.028;-0.051;-0.574;14.902;0.575;-1.949;14.892;0.27;0.569;14.927;0.629;1.883;15.157;0.179;0.025;15.459;-0.245;0.016;16.281;1.278;-1.949;14.892;0.27;-2.64;12.12;0.058;1.883;15.157;0.179;2.451;12.313;-0.357;-0.013;10.994;-0.322;0.059;13.336;0.025;0.716;5.717;-0.876;0.178;1.258;-2.705;-1.071;9.984;-0.049;-0.848;5.799;1.304;-0.848;5.799;1.304;-0.682;1.422;-0.705
-2.597;12.151;0.22;-2.76;9.677;0.666;0.019;10.351;0.158;-1.057;10.001;0.103;1.099;10.012;0.104;0.717;5.711;-0.77;0.12;13.332;0.232;0.114;15.46;-0.004;2.513;12.279;-0.122;2.731;9.827;-0.031;0.019;10.351;0.158;0.016;10.998;-0.155;0.019;10.351;0.158;1.099;10.012;0.104;-0.495;14.898;0.805;-1.869;14.907;0.497;0.648;14.907;0.863;1.968;15.126;0.425;0.114;15.46;-0.004;0.117;16.261;1.53;-1.869;14.907;0.497;-2.597;12.151;0.22;1.968;15.126;0.425;2.513;12.279;-0.122;0.016;10.998;-0.155;0.12;13.332;0.232;0.717;5.711;-0.77;0.176;1.285;-2.675;-1.057;10.001;0.103;-0.817;5.888;1.662;-0.817;5.888;1.662;-0.646;1.417;-0.128
-2.558;12.134;0.472;-2.732;9.67;0.966;0.039;10.304;0.4;-1.04;9.962;0.343;1.116;9.958;0.344;0.727;5.682;-0.639;0.171;13.288;0.467;0.195;15.415;0.226;2.552;12.215;0.047;2.748;9.76;0.045;0.039;10.304;0.4;0.04;10.953;0.09;0.039;10.304;0.4;1.116;9.958;0.344;-0.418;14.863;1.04;-1.791;14.881;0.733;0.726;14.856;1.091;2.046;15.059;0.645;0.195;15.415;0.226;0.207;16.215;1.76;-1.791;14.881;0.733;-2.558;12.134;0.472;2.046;15.059;0.645;2.552;12.215;0.047;0.04;10.953;0.09;0.171;13.288;0.467;0.727;5.682;-0.639;0.156;1.33;-2.7;-1.04;9.962;0.343;-0.802;5.989;2.23;-0.802;5.989;2.23;-0.384;1.251;1.455
-2.525;12.091;0.773;-2.715;9.62;1.22;0.059;10.246;0.678;-1.022;9.912;0.617;1.134;9.895;0.615;0.731;5.642;-0.462;0.213;13.228;0.788;0.253;15.358;0.578;2.594;12.146;0.344;2.765;9.689;0.314;0.059;10.246;0.678;0.064;10.9;0.378;0.059;10.246;0.678;1.134;9.895;0.615;-0.361;14.8;1.386;-1.735;14.827;1.08;0.782;14.783;1.433;2.104;14.982;0.991;0.253;15.358;0.578;0.274;16.136;2.124;-1.735;14.827;1.08;-2.525;12.091;0.773;2.104;14.982;0.991;2.594;12.146;0.344;0.064;10.9;0.378;0.213;13.228;0.788;0.731;5.642;-0.462;0.144;1.356;-2.651;-1.022;9.912;0.617;-0.762;6.026;2.675;-0.762;6.026;2.675;-0.272;1.239;2.408
-2.495;12.031;1.119;-2.697;9.551;1.511;0.08;10.178;1.001;-1.002;9.848;0.939;1.154;9.822;0.929;0.736;5.598;-0.245;0.248;13.156;1.153;0.298;15.289;0.973;2.636;12.071;0.688;2.784;9.613;0.654;0.08;10.178;1.001;0.087;10.835;0.711;0.08;10.178;1.001;1.154;9.822;0.929;-0.316;14.723;1.775;-1.69;14.757;1.474;0.828;14.699;1.817;2.15;14.898;1.376;0.298;15.289;0.973;0.329;16.046;2.528;-1.69;14.757;1.474;-2.495;12.031;1.119;2.15;14.898;1.376;2.636;12.071;0.688;0.087;10.835;0.711;0.248;13.156;1.153;0.736;5.598;-0.245;0.14;1.401;-2.6;-1.002;9.848;0.939;-0.718;6.034;3.124;-0.718;6.034;3.124;-0.155;1.253;3.336
-2.468;11.963;1.517;-2.684;9.474;1.839;0.102;10.105;1.374;-0.982;9.78;1.314;1.174;9.746;1.291;0.74;5.55;0.023;0.281;13.08;1.567;0.338;15.215;1.418;2.679;11.991;1.095;2.803;9.531;1.086;0.102;10.105;1.374;0.11;10.766;1.092;0.102;10.105;1.374;1.174;9.746;1.291;-0.274;14.639;2.215;-1.65;14.678;1.922;0.87;14.611;2.251;2.192;14.811;1.811;0.338;15.215;1.418;0.382;15.952;2.983;-1.65;14.678;1.922;-2.468;11.963;1.517;2.192;14.811;1.811;2.679;11.991;1.095;0.11;10.766;1.092;0.281;13.08;1.567;0.74;5.55;0.023;0.145;1.468;-2.526;-0.982;9.78;1.314;-0.671;6.019;3.585;-0.671;6.019;3.585;-0.048;1.278;4.182
-2.44;11.9;1.974;-2.673;9.404;2.223;0.124;10.036;1.804;-0.963;9.717;1.75;1.193;9.673;1.709;0.743;5.506;0.354;0.314;13.006;2.034;0.376;15.143;1.913;2.724;11.912;1.56;2.822;9.451;1.598;0.124;10.036;1.804;0.132;10.699;1.529;0.124;10.036;1.804;1.193;9.673;1.709;-0.231;14.558;2.707;-1.61;14.603;2.425;0.913;14.526;2.734;2.234;14.727;2.292;0.376;15.143;1.913;0.438;15.863;3.485;-1.61;14.603;2.425;-2.44;11.9;1.974;2.234;14.727;2.292;2.724;11.912;1.56;0.132;10.699;1.529;0.314;13.006;2.034;0.743;5.506;0.354;0.161;1.584;-2.438;-0.963;9.717;1.75;-0.622;5.984;4.064;-0.622;5.984;4.064;0.054;1.295;4.942
-2.411;11.854;2.495;-2.667;9.355;2.672;0.145;9.982;2.297;-0.944;9.671;2.253;1.21;9.613;2.187;0.746;5.471;0.763;0.35;12.948;2.558;0.42;15.085;2.462;2.771;11.843;2.086;2.842;9.383;2.186;0.145;9.982;2.297;0.154;10.648;2.027;0.145;9.982;2.297;1.21;9.613;2.187;-0.183;14.493;3.254;-1.564;14.546;2.987;0.961;14.457;3.27;2.281;14.657;2.824;0.42;15.085;2.462;0.503;15.791;4.039;-1.564;14.546;2.987;-2.411;11.854;2.495;2.281;14.657;2.824;2.771;11.843;2.086;0.154;10.648;2.027;0.35;12.948;2.558;0.746;5.471;0.763;0.192;1.773;-2.324;-0.944;9.671;2.253;-0.57;5.934;4.556;-0.57;5.934;4.556;0.148;1.279;5.573
-2.38;11.843;3.077;-2.664;9.343;3.188;0.165;9.957;2.853;-0.926;9.655;2.821;1.226;9.58;2.729;0.752;5.45;1.275;0.392;12.918;3.137;0.471;15.056;3.061;2.82;11.797;2.672;2.864;9.34;2.842;0.165;9.957;2.853;0.177;10.624;2.586;0.165;9.957;2.853;1.226;9.58;2.729;-0.127;14.459;3.853;-1.511;14.521;3.602;1.017;14.417;3.858;2.335;14.612;3.405;0.471;15.056;3.061;0.579;15.75;4.642;-1.511;14.521;3.602;-2.38;11.843;3.077;2.335;14.612;3.405;2.82;11.797;2.672;0.177;10.624;2.586;0.392;12.918;3.137;0.752;5.45;1.275;0.247;2.059;-2.155;-0.926;9.655;2.821;-0.517;5.875;5.045;-0.517;5.875;5.045;0.228;1.213;6.012
-2.345;11.881;3.703;-2.663;9.383;3.76;0.186;9.976;3.461;-0.908;9.685;3.441;1.243;9.588;3.326;0.77;5.442;1.918;0.437;12.931;3.758;0.53;15.069;3.695;2.872;11.788;3.308;2.889;9.337;3.552;0.186;9.976;3.461;0.202;10.643;3.194;0.186;9.976;3.461;1.243;9.588;3.326;-0.065;14.471;4.488;-1.451;14.546;4.252;1.078;14.422;4.483;2.395;14.61;4.024;0.53;15.069;3.695;0.662;15.758;5.277;-1.451;14.546;4.252;-2.345;11.881;3.703;2.395;14.61;4.024;2.872;11.788;3.308;0.202;10.643;3.194;0.437;12.931;3.758;0.77;5.442;1.918;0.338;2.447;-1.871;-0.908;9.685;3.441;-0.469;5.818;5.504;-0.469;5.818;5.504;0.276;1.109;6.204
