right_clavicle-x;right_clavicle-y;right_clavicle-z;right_humerus-x;right_humerus-y;right_humerus-z;pelvis_right_femur-x;pelvis_right_femur-y;pelvis_right_femur-z;right_femur_tibia-x;right_femur_tibia-y;right_femur_tibia-z;pelvis-x;pelvis-y;pelvis-z;pelvis_right_femur-x;pelvis_right_femur-y;pelvis_right_femur-z;left_clavicle-x;left_clavicle-y;left_clavicle-z;left_humerus-x;left_humerus-y;left_humerus-z;spine1-x;spine1-y;spine1-z;spine2-x;spine2-y;spine2-z;left_manubrium-x;left_manubrium-y;left_manubrium-z;left_clavicle-x;left_clavicle-y;left_clavicle-z;spine2-x;spine2-y;spine2-z;neck-x;neck-y;neck-z;left_humerus-x;left_humerus-y;left_humerus-z;left_radius-x;left_radius-y;left_radius-z;right_humerus-x;right_humerus-y;right_humerus-z;right_radius-x;right_radius-y;right_radius-z;pelvis-x;pelvis-y;pelvis-z;pelvis_spine1-x;pelvis_spine1-y;pelvis_spine1-z;pelvis_left_femur-x;pelvis_left_femur-y;pelvis_left_femur-z;left_femur_tibia-x;left_femur_tibia-y;left_femur_tibia-z;pelvis_spine1-x;pelvis_spine1-y;pelvis_spine1-z;spine1-x;spine1-y;spine1-z;right_manubrium-x;right_manubrium-y;right_manubrium-z;right_clavicle-x;right_clavicle-y;right_clavicle-z;right_femur_tibia-x;right_femur_tibia-y;right_femur_tibia-z;right_tibia_foot-x;right_tibia_foot-y;right_tibia_foot-z;left_femur_tibia-x;left_femur_tibia-y;left_femur_tibia-z;left_tibia_foot-x;left_tibia_foot-y;left_tibia_foot-z;pelvis-x;pelvis-y;pelvis-z;pelvis_left_femur-x;pelvis_left_femur-y;pelvis_left_femur-z
-1.94;15.004;-0.093;-2.782;12.267;-0.053;-1.057;9.945;-0.037;-0.986;5.621;0.801;0.0;10.351;0.0;-1.057;9.945;-0.037;1.939;15.078;-0.236;2.736;12.269;-0.653;0.026;13.345;-0.236;0.028;15.422;-0.752;0.591;14.983;0.159;1.939;15.078;-0.236;0.028;15.422;-0.752;0.174;16.365;0.691;2.736;12.269;-0.653;2.568;9.856;-0.186;-2.782;12.267;-0.053;-2.945;9.826;0.547;0.0;10.351;0.0;-0.035;10.98;-0.347;1.096;10.064;-0.036;0.659;5.713;-0.562;-0.035;10.98;-0.347;0.026;13.345;-0.236;-0.553;14.981;0.147;-1.94;15.004;-0.093;-0.986;5.621;0.801;-1.031;1.477;-1.658;0.659;5.713;-0.562;0.178;1.221;-2.324;0.0;10.351;0.0;1.096;10.064;-0.036
-1.881;15.008;0.07;-2.731;12.273;0.049;-1.028;9.959;0.092;-0.89;5.696;1.193;0.035;10.351;0.13;-1.028;9.959;0.092;1.999;15.065;-0.004;2.789;12.263;-0.476;0.078;13.343;-0.065;0.097;15.43;-0.544;0.645;14.971;0.367;1.999;15.065;-0.004;0.097;15.43;-0.544;0.224;16.35;0.916;2.789;12.263;-0.476;2.616;9.838;-0.076;-2.731;12.273;0.049;-2.907;9.826;0.62;0.035;10.351;0.13;0.008;10.981;-0.215;1.127;10.05;0.094;0.673;5.71;-0.507;0.008;10.981;-0.215;0.078;13.343;-0.065;-0.5;14.975;0.338;-1.881;15.008;0.07;-0.89;5.696;1.193;-0.969;1.577;-1.306;0.673;5.71;-0.507;0.17;1.252;-2.346;0.035;10.351;0.13;1.127;10.05;0.094
-1.825;15.019;0.261;-2.685;12.288;0.183;-1.005;9.976;0.246;-0.802;5.793;1.612;0.062;10.354;0.288;-1.005;9.976;0.246;2.055;15.059;0.251;2.842;12.262;-0.254;0.128;13.345;0.137;0.162;15.438;-0.312;0.695;14.964;0.601;2.055;15.059;0.251;0.162;15.438;-0.312;0.268;16.349;1.156;2.842;12.262;-0.254;2.665;9.831;0.106;-2.685;12.288;0.183;-2.88;9.836;0.724;0.062;10.354;0.288;0.044;10.986;-0.055;1.15;10.039;0.251;0.69;5.712;-0.433;0.044;10.986;-0.055;0.128;13.345;0.137;-0.449;14.973;0.556;-1.825;15.019;0.261;-0.802;5.793;1.612;-0.848;1.593;-0.75;0.69;5.712;-0.433;0.171;1.288;-2.347;0.062;10.354;0.288;1.15;10.039;0.251
-1.769;15.021;0.503;-2.64;12.299;0.316;-0.987;9.986;0.398;-0.74;5.896;2.014;0.085;10.351;0.446;-0.987;9.986;0.398;2.109;15.047;0.545;2.905;12.255;0.025;0.177;13.339;0.365;0.225;15.442;-0.032;0.745;14.944;0.875;2.109;15.047;0.545;0.225;15.442;-0.032;0.314;16.33;1.451;2.905;12.255;0.025;2.72;9.824;0.378;-2.64;12.299;0.316;-2.863;9.831;0.767;0.085;10.351;0.446;0.075;10.986;0.11;1.169;10.024;0.409;0.708;5.712;-0.365;0.075;10.986;0.11;0.177;13.339;0.365;-0.398;14.959;0.816;-1.769;15.021;0.503;-0.74;5.896;2.014;-0.692;1.522;-0.007;0.708;5.712;-0.365;0.173;1.322;-2.353;0.085;10.351;0.446;1.169;10.024;0.409
-1.717;14.999;0.786;-2.593;12.288;0.49;-0.964;9.973;0.58;-0.684;5.981;2.421;0.11;10.328;0.637;-0.964;9.973;0.58;2.16;15.022;0.864;2.977;12.232;0.368;0.227;13.312;0.629;0.281;15.424;0.28;0.793;14.904;1.18;2.16;15.022;0.864;0.281;15.424;0.28;0.356;16.29;1.776;2.977;12.232;0.368;2.786;9.808;0.763;-2.593;12.288;0.49;-2.844;9.806;0.836;0.11;10.328;0.637;0.107;10.968;0.31;1.192;9.992;0.599;0.731;5.7;-0.277;0.107;10.968;0.31;0.227;13.312;0.629;-0.35;14.922;1.112;-1.717;14.999;0.786;-0.684;5.981;2.421;-0.498;1.406;0.919;0.731;5.7;-0.277;0.178;1.354;-2.354;0.11;10.328;0.637;1.192;9.992;0.599
-1.667;14.956;1.126;-2.548;12.262;0.71;-0.944;9.936;0.809;-0.633;6.043;2.846;0.132;10.285;0.872;-0.944;9.936;0.809;2.208;14.979;1.213;3.056;12.192;0.756;0.274;13.264;0.934;0.333;15.383;0.635;0.842;14.842;1.523;2.208;14.979;1.213;0.333;15.383;0.635;0.402;16.228;2.143;3.056;12.192;0.756;2.863;9.781;1.225;-2.548;12.262;0.71;-2.83;9.769;0.927;0.132;10.285;0.872;0.133;10.93;0.555;1.212;9.945;0.829;0.749;5.677;-0.159;0.133;10.93;0.555;0.274;13.264;0.934;-0.3;14.864;1.453;-1.667;14.956;1.126;-0.633;6.043;2.846;-0.298;1.312;1.993;0.749;5.677;-0.159;0.18;1.388;-2.349;0.132;10.285;0.872;1.212;9.945;0.829
-1.625;14.884;1.498;-2.508;12.212;0.966;-0.925;9.873;1.072;-0.588;6.067;3.264;0.153;10.218;1.139;-0.925;9.873;1.072;2.245;14.91;1.566;3.119;12.12;1.175;0.313;13.192;1.266;0.372;15.316;1.011;0.883;14.756;1.887;2.245;14.91;1.566;0.372;15.316;1.011;0.441;16.135;2.534;3.119;12.12;1.175;2.927;9.732;1.75;-2.508;12.212;0.966;-2.817;9.714;1.053;0.153;10.218;1.139;0.154;10.868;0.833;1.232;9.876;1.088;0.763;5.638;-0.016;0.154;10.868;0.833;0.313;13.192;1.266;-0.259;14.78;1.821;-1.625;14.884;1.498;-0.588;6.067;3.264;-0.116;1.274;3.086;0.763;5.638;-0.016;0.182;1.423;-2.342;0.153;10.218;1.139;1.232;9.876;1.088
-1.589;14.787;1.913;-2.469;12.14;1.263;-0.905;9.794;1.366;-0.555;6.063;3.682;0.174;10.134;1.431;-0.905;9.794;1.366;2.278;14.812;1.972;3.166;12.022;1.615;0.347;13.099;1.635;0.407;15.23;1.44;0.919;14.645;2.299;2.278;14.812;1.972;0.407;15.23;1.44;0.472;16.011;2.983;3.166;12.022;1.615;2.974;9.655;2.268;-2.469;12.14;1.263;-2.802;9.643;1.218;0.174;10.134;1.431;0.175;10.79;1.136;1.251;9.79;1.368;0.774;5.583;0.153;0.175;10.79;1.136;0.347;13.099;1.635;-0.224;14.671;2.235;-1.589;14.787;1.913;-0.555;6.063;3.682;0.005;1.297;4.118;0.774;5.583;0.153;0.177;1.456;-2.322;0.174;10.134;1.431;1.251;9.79;1.368
-1.568;14.68;2.341;-2.435;12.054;1.596;-0.885;9.707;1.713;-0.496;6.03;4.107;0.195;10.045;1.769;-0.885;9.707;1.713;2.295;14.716;2.404;3.212;11.927;2.124;0.371;13.001;2.038;0.427;15.136;1.885;0.938;14.535;2.733;2.295;14.716;2.404;0.427;15.136;1.885;0.491;15.891;3.441;3.212;11.927;2.124;3.026;9.592;2.887;-2.435;12.054;1.596;-2.784;9.564;1.443;0.195;10.045;1.769;0.193;10.705;1.485;1.271;9.7;1.686;0.786;5.529;0.354;0.193;10.705;1.485;0.371;13.001;2.038;-0.204;14.561;2.668;-1.568;14.68;2.341;-0.496;6.03;4.107;0.148;1.332;4.968;0.786;5.529;0.354;0.169;1.521;-2.305;0.195;10.045;1.769;1.271;9.7;1.686
-1.545;14.576;2.814;-2.397;11.971;1.984;-0.869;9.628;2.132;-0.437;5.961;4.533;0.214;9.958;2.176;-0.869;9.628;2.132;2.314;14.618;2.895;3.24;11.828;2.652;0.397;12.907;2.498;0.449;15.044;2.383;0.958;14.43;3.222;2.314;14.618;2.895;0.449;15.044;2.383;0.509;15.775;3.95;3.24;11.828;2.652;3.058;9.514;3.478;-2.397;11.971;1.984;-2.762;9.492;1.732;0.214;9.958;2.176;0.213;10.622;1.901;1.287;9.607;2.071;0.792;5.47;0.641;0.213;10.622;1.901;0.397;12.907;2.498;-0.184;14.454;3.153;-1.545;14.576;2.814;-0.437;5.961;4.533;0.254;1.293;5.51;0.792;5.47;0.641;0.182;1.634;-2.261;0.214;9.958;2.176;1.287;9.607;2.071
