0.0;10.351;0.0;0.003;10.984;-0.341;-1.043;5.722;0.973;-1.193;1.536;-1.41;0.645;14.925;0.42;1.991;15.053;0.03;-2.608;12.091;-0.049;-2.694;9.695;0.724;-1.853;14.853;-0.013;-2.608;12.091;-0.049;-0.498;14.934;0.36;-1.853;14.853;-0.013;0.0;10.351;0.0;1.077;10.001;-0.039;1.991;15.053;0.03;2.59;12.206;-0.457;0.003;10.984;-0.341;0.091;13.345;-0.176;-1.079;10.008;-0.041;-1.043;5.722;0.973;0.0;10.351;0.0;-1.079;10.008;-0.041;0.091;13.345;-0.176;0.122;15.467;-0.46;1.077;10.001;-0.039;0.804;5.628;-0.494;2.59;12.206;-0.457;2.575;9.749;-0.276;0.122;15.467;-0.46;0.379;16.444;0.945;0.804;5.628;-0.494;0.441;1.161;-2.344
0.034;10.361;0.139;0.036;10.993;-0.201;-0.925;5.813;1.407;-1.001;1.603;-0.936;0.69;14.921;0.616;2.034;15.049;0.217;-2.566;12.109;0.065;-2.679;9.705;0.81;-1.8;14.868;0.146;-2.566;12.109;0.065;-0.452;14.938;0.546;-1.8;14.868;0.146;0.034;10.361;0.139;1.11;10.01;0.098;2.034;15.049;0.217;2.638;12.204;-0.275;0.036;10.993;-0.201;0.132;13.352;-0.003;-1.046;10.018;0.1;-0.925;5.813;1.407;0.034;10.361;0.139;-1.046;10.018;0.1;0.132;13.352;-0.003;0.179;15.476;-0.263;1.11;10.01;0.098;0.838;5.649;-0.461;2.638;12.204;-0.275;2.635;9.747;-0.095;0.179;15.476;-0.263;0.416;16.431;1.161;0.838;5.649;-0.461;0.44;1.199;-2.345
0.076;10.368;0.314;0.078;11.001;-0.026;-0.826;5.921;1.863;-0.796;1.588;-0.246;0.753;14.913;0.856;2.095;15.043;0.452;-2.516;12.14;0.19;-2.669;9.714;0.85;-1.732;14.889;0.357;-2.516;12.14;0.19;-0.389;14.939;0.776;-1.732;14.889;0.357;0.076;10.368;0.314;1.153;10.018;0.271;2.095;15.043;0.452;2.698;12.197;-0.039;0.078;11.001;-0.026;0.188;13.355;0.212;-1.004;10.026;0.277;-0.826;5.921;1.863;0.076;10.368;0.314;-1.004;10.026;0.277;0.188;13.355;0.212;0.253;15.483;-0.02;1.153;10.018;0.271;0.876;5.675;-0.41;2.698;12.197;-0.039;2.687;9.742;0.158;0.253;15.483;-0.02;0.472;16.413;1.423;0.876;5.675;-0.41;0.438;1.25;-2.346
0.105;10.359;0.491;0.107;10.992;0.151;-0.783;6.007;2.266;-0.626;1.492;0.589;0.79;14.888;1.103;2.128;15.027;0.687;-2.485;12.142;0.341;-2.67;9.69;0.89;-1.693;14.882;0.601;-2.485;12.142;0.341;-0.351;14.915;1.024;-1.693;14.882;0.601;0.105;10.359;0.491;1.182;10.008;0.449;2.128;15.027;0.687;2.742;12.178;0.232;0.107;10.992;0.151;0.225;13.34;0.438;-0.975;10.017;0.453;-0.783;6.007;2.266;0.105;10.359;0.491;-0.975;10.017;0.453;0.225;13.34;0.438;0.29;15.47;0.236;1.182;10.008;0.449;0.905;5.685;-0.348;2.742;12.178;0.232;2.725;9.728;0.494;0.29;15.47;0.236;0.492;16.375;1.697;0.905;5.685;-0.348;0.442;1.29;-2.344
0.135;10.336;0.698;0.136;10.969;0.359;-0.756;6.077;2.671;-0.544;1.399;1.533;0.832;14.845;1.394;2.169;14.993;0.978;-2.453;12.135;0.531;-2.679;9.66;0.942;-1.651;14.861;0.89;-2.453;12.135;0.531;-0.309;14.875;1.315;-1.651;14.861;0.89;0.135;10.336;0.698;1.212;9.985;0.651;2.169;14.993;0.978;2.792;12.141;0.558;0.136;10.969;0.359;0.266;13.309;0.703;-0.945;9.994;0.665;-0.756;6.077;2.671;0.135;10.336;0.698;-0.945;9.994;0.665;0.266;13.309;0.703;0.334;15.442;0.536;1.212;9.985;0.651;0.928;5.685;-0.262;2.792;12.141;0.558;2.754;9.7;0.891;0.334;15.442;0.536;0.516;16.32;2.016;0.928;5.685;-0.262;0.437;1.333;-2.343
0.166;10.275;0.958;0.165;10.909;0.62;-0.705;6.099;3.086;-0.383;1.316;2.598;0.868;14.769;1.719;2.204;14.928;1.305;-2.425;12.093;0.772;-2.695;9.602;1.031;-1.618;14.804;1.225;-2.425;12.093;0.772;-0.273;14.8;1.641;-1.618;14.804;1.225;0.166;10.275;0.958;1.242;9.924;0.905;2.204;14.928;1.305;2.839;12.073;0.925;0.165;10.909;0.62;0.302;13.241;1.009;-0.914;9.934;0.929;-0.705;6.099;3.086;0.166;10.275;0.958;-0.914;9.934;0.929;0.302;13.241;1.009;0.369;15.377;0.869;1.242;9.924;0.905;0.947;5.652;-0.129;2.839;12.073;0.925;2.775;9.645;1.341;0.369;15.377;0.869;0.533;16.233;2.364;0.947;5.652;-0.129;0.437;1.364;-2.333
0.187;10.201;1.253;0.183;10.836;0.916;-0.673;6.09;3.499;-0.263;1.29;3.622;0.891;14.679;2.08;2.225;14.851;1.665;-2.411;12.031;1.077;-2.718;9.533;1.179;-1.603;14.725;1.616;-2.411;12.031;1.077;-0.251;14.708;2.009;-1.603;14.725;1.616;0.187;10.201;1.253;1.262;9.85;1.191;2.225;14.851;1.665;2.875;11.995;1.323;0.183;10.836;0.916;0.324;13.16;1.352;-0.894;9.86;1.231;-0.673;6.09;3.499;0.187;10.201;1.253;-0.894;9.86;1.231;0.324;13.16;1.352;0.384;15.297;1.241;1.262;9.85;1.191;0.953;5.61;0.041;2.875;11.995;1.323;2.79;9.583;1.819;0.384;15.297;1.241;0.536;16.127;2.752;0.953;5.61;0.041;0.429;1.405;-2.317
0.208;10.115;1.599;0.202;10.75;1.264;-0.629;6.048;3.923;-0.142;1.288;4.503;0.91;14.583;2.471;2.246;14.765;2.064;-2.399;11.961;1.413;-2.746;9.466;1.372;-1.589;14.637;2.031;-2.399;11.961;1.413;-0.232;14.608;2.404;-1.589;14.637;2.031;0.208;10.115;1.599;1.283;9.764;1.526;2.246;14.765;2.064;2.917;11.909;1.761;0.202;10.75;1.264;0.345;13.068;1.733;-0.872;9.774;1.586;-0.629;6.048;3.923;0.208;10.115;1.599;-0.872;9.774;1.586;0.345;13.068;1.733;0.399;15.206;1.639;1.283;9.764;1.526;0.95;5.554;0.274;2.917;11.909;1.761;2.82;9.514;2.327;0.399;15.206;1.639;0.539;16.019;3.16;0.95;5.554;0.274;0.414;1.463;-2.273
0.22;10.044;1.989;0.209;10.68;1.657;-0.586;5.986;4.339;-0.049;1.256;5.092;0.916;14.504;2.899;2.252;14.691;2.497;-2.388;11.896;1.787;-2.759;9.411;1.617;-1.588;14.557;2.483;-2.388;11.896;1.787;-0.226;14.526;2.838;-1.588;14.557;2.483;0.22;10.044;1.989;1.294;9.693;1.9;2.252;14.691;2.497;2.934;11.836;2.203;0.209;10.68;1.657;0.354;12.992;2.152;-0.86;9.702;1.991;-0.586;5.986;4.339;0.22;10.044;1.989;-0.86;9.702;1.991;0.354;12.992;2.152;0.399;15.131;2.074;1.294;9.693;1.9;0.949;5.512;0.556;2.934;11.836;2.203;2.835;9.448;2.8;0.399;15.131;2.074;0.53;15.931;3.603;0.949;5.512;0.556;0.419;1.574;-2.222
0.232;10.015;2.459;0.214;10.654;2.13;-0.54;5.902;4.735;0.013;1.15;5.32;0.912;14.476;3.385;2.248;14.665;2.983;-2.382;11.87;2.233;-2.763;9.397;1.951;-1.599;14.516;3.0;-2.382;11.87;2.233;-0.231;14.49;3.334;-1.599;14.516;3.0;0.232;10.015;2.459;1.304;9.665;2.344;2.248;14.665;2.983;2.927;11.81;2.684;0.214;10.654;2.13;0.354;12.963;2.639;-0.848;9.673;2.481;-0.54;5.902;4.735;0.232;10.015;2.459;-0.848;9.673;2.481;0.354;12.963;2.639;0.383;15.102;2.566;1.304;9.665;2.344;0.954;5.507;0.932;2.927;11.81;2.684;2.828;9.426;3.297;0.383;15.102;2.566;0.512;15.892;4.1;0.954;5.507;0.932;0.427;1.783;-2.129
0.239;9.999;2.986;0.215;10.639;2.662;-0.492;5.801;5.126;0.071;1.022;5.387;0.885;14.478;3.886;2.221;14.668;3.483;-2.386;11.855;2.711;-2.763;9.39;2.36;-1.629;14.497;3.518;-2.386;11.855;2.711;-0.258;14.48;3.841;-1.629;14.497;3.518;0.239;9.999;2.986;1.308;9.65;2.851;2.221;14.668;3.483;2.907;11.818;3.162;0.215;10.639;2.662;0.339;12.952;3.157;-0.841;9.657;3.026;-0.492;5.801;5.126;0.239;9.999;2.986;-0.841;9.657;3.026;0.339;12.952;3.157;0.346;15.091;3.065;1.308;9.65;2.851;0.948;5.491;1.444;2.907;11.818;3.162;2.832;9.43;3.761;0.346;15.091;3.065;0.471;15.886;4.597;0.948;5.491;1.444;0.433;2.048;-1.931
0.251;10.049;3.56;0.223;10.69;3.237;-0.465;5.754;5.517;0.085;0.966;5.451;0.853;14.555;4.401;2.186;14.747;3.991;-2.389;11.892;3.244;-2.748;9.426;2.871;-1.664;14.542;4.053;-2.389;11.892;3.244;-0.291;14.541;4.363;-1.664;14.542;4.053;0.251;10.049;3.56;1.319;9.7;3.413;2.186;14.747;3.991;2.874;11.9;3.642;0.223;10.69;3.237;0.322;13.011;3.699;-0.829;9.707;3.609;-0.465;5.754;5.517;0.251;10.049;3.56;-0.829;9.707;3.609;0.322;13.011;3.699;0.301;15.148;3.574;1.319;9.7;3.413;0.965;5.52;2.071;2.874;11.9;3.642;2.821;9.509;4.231;0.301;15.148;3.574;0.425;15.95;5.103;0.965;5.52;2.071;0.491;2.467;-1.667
0.254;10.115;4.141;0.229;10.756;3.816;-0.468;5.713;5.853;0.083;0.939;5.497;0.824;14.648;4.904;2.153;14.84;4.48;-2.402;11.935;3.827;-2.741;9.462;3.491;-1.697;14.606;4.585;-2.402;11.935;3.827;-0.32;14.622;4.876;-1.697;14.606;4.585;0.254;10.115;4.141;1.323;9.766;4.002;2.153;14.84;4.48;2.845;12.0;4.086;0.229;10.756;3.816;0.304;13.086;4.234;-0.826;9.773;4.183;-0.468;5.713;5.853;0.254;10.115;4.141;-0.826;9.773;4.183;0.304;13.086;4.234;0.26;15.22;4.071;1.323;9.766;4.002;0.969;5.511;2.92;2.845;12.0;4.086;2.827;9.601;4.641;0.26;15.22;4.071;0.387;16.028;5.596;0.969;5.511;2.92;0.566;2.858;-1.119
0.27;10.205;4.695;0.25;10.844;4.367;-0.478;5.692;6.097;0.089;0.944;5.501;0.811;14.758;5.392;2.135;14.947;4.952;-2.404;11.984;4.445;-2.719;9.498;4.191;-1.714;14.683;5.109;-2.404;11.984;4.445;-0.332;14.719;5.375;-1.714;14.683;5.109;0.27;10.205;4.695;1.341;9.855;4.574;2.135;14.947;4.952;2.825;12.107;4.551;0.25;10.844;4.367;0.301;13.181;4.75;-0.81;9.864;4.722;-0.478;5.692;6.097;0.27;10.205;4.695;-0.81;9.864;4.722;0.301;13.181;4.75;0.233;15.312;4.556;1.341;9.855;4.574;1.036;5.511;3.912;2.825;12.107;4.551;2.829;9.711;5.12;0.233;15.312;4.556;0.364;16.12;6.08;1.036;5.511;3.912;0.727;3.149;-0.312
0.274;10.294;5.214;0.258;10.932;4.885;-0.496;5.684;6.274;0.085;0.965;5.494;0.825;14.859;5.857;2.139;15.042;5.388;-2.399;12.04;5.102;-2.691;9.542;4.966;-1.708;14.767;5.64;-2.399;12.04;5.102;-0.319;14.816;5.864;-1.708;14.767;5.64;0.274;10.294;5.214;1.346;9.943;5.104;2.139;15.042;5.388;2.817;12.204;4.958;0.258;10.932;4.885;0.308;13.273;5.242;-0.806;9.953;5.233;-0.496;5.684;6.274;0.274;10.294;5.214;-0.806;9.953;5.233;0.308;13.273;5.242;0.226;15.402;5.027;1.346;9.943;5.104;1.12;5.548;4.941;2.817;12.204;4.958;2.846;9.808;5.528;0.226;15.402;5.027;0.379;16.21;6.55;1.12;5.548;4.941;0.827;3.24;0.686
0.286;10.41;5.726;0.272;11.048;5.395;-0.512;5.727;6.42;0.08;1.036;5.488;0.856;14.982;6.323;2.159;15.161;5.819;-2.389;12.134;5.815;-2.653;9.629;5.843;-1.683;14.884;6.187;-2.389;12.134;5.815;-0.287;14.938;6.361;-1.683;14.884;6.187;0.286;10.41;5.726;1.358;10.059;5.627;2.159;15.161;5.819;2.83;12.326;5.358;0.272;11.048;5.395;0.326;13.391;5.736;-0.795;10.069;5.736;-0.512;5.727;6.42;0.286;10.41;5.726;-0.795;10.069;5.736;0.326;13.391;5.736;0.235;15.517;5.505;1.358;10.059;5.627;1.243;5.671;5.993;2.83;12.326;5.358;2.893;9.93;5.929;0.235;15.517;5.505;0.416;16.322;7.026;1.243;5.671;5.993;1.002;3.141;1.863
0.281;10.481;6.213;0.27;11.118;5.88;-0.537;5.756;6.545;0.068;1.094;5.482;0.874;15.06;6.762;2.165;15.235;6.228;-2.39;12.207;6.495;-2.615;9.708;6.716;-1.669;14.973;6.683;-2.39;12.207;6.495;-0.269;15.019;6.822;-1.669;14.973;6.683;0.281;10.481;6.213;1.355;10.129;6.123;2.165;15.235;6.228;2.836;12.405;5.738;0.27;11.118;5.88;0.329;13.464;6.202;-0.799;10.14;6.214;-0.537;5.756;6.545;0.281;10.481;6.213;-0.799;10.14;6.214;0.329;13.464;6.202;0.238;15.588;5.949;1.355;10.129;6.123;1.336;5.822;7.043;2.836;12.405;5.738;2.932;10.01;6.306;0.238;15.588;5.949;0.445;16.396;7.465;1.336;5.822;7.043;1.09;2.744;3.304
0.279;10.52;6.679;0.268;11.157;6.346;-0.555;5.782;6.678;0.053;1.154;5.479;0.9;15.097;7.218;2.182;15.268;6.66;-2.379;12.262;7.201;-2.55;9.786;7.631;-1.644;15.03;7.195;-2.379;12.262;7.201;-0.241;15.062;7.299;-1.644;15.03;7.195;0.279;10.52;6.679;1.352;10.169;6.59;2.182;15.268;6.66;2.848;12.443;6.135;0.268;11.157;6.346;0.335;13.502;6.673;-0.802;10.18;6.68;-0.555;5.782;6.678;0.279;10.52;6.679;-0.802;10.18;6.68;0.335;13.502;6.673;0.253;15.626;6.416;1.352;10.169;6.59;1.48;5.993;7.985;2.848;12.443;6.135;2.975;10.045;6.687;0.253;15.626;6.416;0.488;16.433;7.929;1.48;5.993;7.985;1.252;2.223;4.944
0.295;10.509;7.136;0.285;11.145;6.803;-0.552;5.78;6.829;0.058;1.197;5.471;0.94;15.077;7.689;2.217;15.245;7.121;-2.357;12.281;7.93;-2.466;9.854;8.598;-1.605;15.035;7.706;-2.357;12.281;7.93;-0.2;15.051;7.784;-1.605;15.035;7.706;0.295;10.509;7.136;1.369;10.157;7.049;2.217;15.245;7.121;2.877;12.424;6.567;0.285;11.145;6.803;0.358;13.487;7.15;-0.786;10.168;7.134;-0.552;5.78;6.829;0.295;10.509;7.136;-0.786;10.168;7.134;0.358;13.487;7.15;0.287;15.611;6.896;1.369;10.157;7.049;1.633;6.125;8.803;2.877;12.424;6.567;3.023;10.022;7.094;0.287;15.611;6.896;0.543;16.418;8.405;1.633;6.125;8.803;1.473;1.76;6.697
