right_humerus-x;right_humerus-y;right_humerus-z;right_radius-x;right_radius-y;right_radius-z;pelvis-x;pelvis-y;pelvis-z;pelvis_right_femur-x;pelvis_right_femur-y;pelvis_right_femur-z;pelvis_left_femur-x;pelvis_left_femur-y;pelvis_left_femur-z;left_femur_tibia-x;left_femur_tibia-y;left_femur_tibia-z;spine1-x;spine1-y;spine1-z;spine2-x;spine2-y;spine2-z;left_humerus-x;left_humerus-y;left_humerus-z;left_radius-x;left_radius-y;left_radius-z;pelvis-x;pelvis-y;pelvis-z;pelvis_spine1-x;pelvis_spine1-y;pelvis_spine1-z;pelvis-x;pelvis-y;pelvis-z;pelvis_left_femur-x;pelvis_left_femur-y;pelvis_left_femur-z;right_manubrium-x;right_manubrium-y;right_manubrium-z;right_clavicle-x;right_clavicle-y;right_clavicle-z;left_manubrium-x;left_manubrium-y;left_manubrium-z;left_clavicle-x;left_clavicle-y;left_clavicle-z;spine2-x;spine2-y;spine2-z;neck-x;neck-y;neck-z;right_clavicle-x;right_clavicle-y;right_clavicle-z;right_humerus-x;right_humerus-y;right_humerus-z;left_clavicle-x;left_clavicle-y;left_clavicle-z;left_humerus-x;left_humerus-y;left_humerus-z;pelvis_spine1-x;pelvis_spine1-y;pelvis_spine1-z;spine1-x;spine1-y;spine1-z;left_femur_tibia-x;left_femur_tibia-y;left_femur_tibia-z;left_tibia_foot-x;left_tibia_foot-y;left_tibia_foot-z;pelvis_right_femur-x;pelvis_right_femur-y;pelvis_right_femur-z;right_femur_tibia-x;right_femur_tibia-y;right_femur_tibia-z;right_femur_tibia-x;right_femur_tibia-y;right_femur_tibia-z;right_tibia_foot-x;right_tibia_foot-y;right_tibia_foot-z
-2.623;12.195;-0.021;-2.793;9.744;0.537;0.0;10.351;0.0;-1.065;9.965;-0.042;1.09;10.047;-0.053;0.723;5.707;-0.712;0.107;13.343;-0.085;0.164;15.447;-0.478;2.664;12.23;-0.359;2.649;9.811;0.109;0.0;10.351;0.0;-0.026;10.991;-0.326;0.0;10.351;0.0;1.09;10.047;-0.053;-0.454;14.966;0.375;-1.829;14.945;0.073;0.689;14.943;0.423;2.032;15.085;0.026;0.164;15.447;-0.478;0.225;16.325;1.012;-1.829;14.945;0.073;-2.623;12.195;-0.021;2.032;15.085;0.026;2.664;12.23;-0.359;-0.026;10.991;-0.326;0.107;13.343;-0.085;0.723;5.707;-0.712;0.196;1.189;-2.392;-1.065;9.965;-0.042;-0.882;5.649;0.819;-0.882;5.649;0.819;-0.824;1.454;-1.551
-2.588;12.189;0.124;-2.762;9.734;0.661;0.033;10.345;0.136;-1.033;9.962;0.096;1.122;10.038;0.079;0.752;5.701;-0.599;0.145;13.337;0.066;0.201;15.443;-0.315;2.705;12.226;-0.209;2.685;9.809;0.268;0.033;10.345;0.136;0.008;10.986;-0.189;0.033;10.345;0.136;1.122;10.038;0.079;-0.415;14.957;0.536;-1.791;14.938;0.237;0.728;14.934;0.582;2.07;15.08;0.183;0.201;15.443;-0.315;0.265;16.315;1.178;-1.791;14.938;0.237;-2.588;12.189;0.124;2.07;15.08;0.183;2.705;12.226;-0.209;0.008;10.986;-0.189;0.145;13.337;0.066;0.752;5.701;-0.599;0.219;1.192;-2.3;-1.033;9.962;0.096;-0.839;5.661;1.024;-0.839;5.661;1.024;-0.763;1.414;-1.253
-2.55;12.177;0.28;-2.737;9.714;0.774;0.069;10.332;0.286;-0.998;9.952;0.246;1.157;10.021;0.227;0.784;5.69;-0.485;0.189;13.322;0.242;0.245;15.431;-0.119;2.756;12.219;-0.025;2.726;9.806;0.473;0.069;10.332;0.286;0.046;10.974;-0.035;0.069;10.332;0.286;1.157;10.021;0.227;-0.371;14.937;0.729;-1.747;14.922;0.431;0.772;14.914;0.773;2.113;15.069;0.374;0.245;15.431;-0.119;0.31;16.296;1.379;-1.747;14.922;0.431;-2.55;12.177;0.28;2.113;15.069;0.374;2.756;12.219;-0.025;0.046;10.974;-0.035;0.189;13.322;0.242;0.784;5.69;-0.485;0.246;1.197;-2.227;-0.998;9.952;0.246;-0.793;5.672;1.265;-0.793;5.672;1.265;-0.664;1.311;-0.781
-2.508;12.152;0.457;-2.717;9.678;0.881;0.111;10.304;0.46;-0.957;9.927;0.415;1.198;9.99;0.399;0.82;5.669;-0.364;0.243;13.292;0.453;0.295;15.406;0.12;2.821;12.201;0.203;2.775;9.797;0.742;0.111;10.304;0.46;0.089;10.948;0.143;0.111;10.304;0.46;1.198;9.99;0.399;-0.319;14.899;0.961;-1.695;14.89;0.667;0.825;14.878;1.004;2.164;15.048;0.605;0.295;15.406;0.12;0.361;16.261;1.622;-1.695;14.89;0.667;-2.508;12.152;0.457;2.164;15.048;0.605;2.821;12.201;0.203;0.089;10.948;0.143;0.243;13.292;0.453;0.82;5.669;-0.364;0.278;1.202;-2.172;-0.957;9.927;0.415;-0.748;5.673;1.535;-0.748;5.673;1.535;-0.525;1.146;-0.102
-2.464;12.11;0.662;-2.7;9.625;1.001;0.159;10.255;0.662;-0.909;9.88;0.612;1.246;9.941;0.6;0.861;5.632;-0.228;0.3;13.24;0.696;0.346;15.359;0.392;2.895;12.164;0.469;2.834;9.775;1.069;0.159;10.255;0.662;0.139;10.903;0.352;0.159;10.255;0.662;1.246;9.941;0.6;-0.262;14.84;1.23;-1.64;14.838;0.943;0.882;14.82;1.266;2.218;15.008;0.863;0.346;15.359;0.392;0.416;16.203;1.901;-1.64;14.838;0.943;-2.464;12.11;0.662;2.218;15.008;0.863;2.895;12.164;0.469;0.139;10.903;0.352;0.3;13.24;0.696;0.861;5.632;-0.228;0.316;1.206;-2.133;-0.909;9.88;0.612;-0.701;5.651;1.826;-0.701;5.651;1.826;-0.37;0.965;0.753
-2.418;12.05;0.899;-2.681;9.558;1.149;0.214;10.187;0.899;-0.854;9.811;0.844;1.302;9.875;0.833;0.907;5.583;-0.073;0.359;13.17;0.972;0.399;15.293;0.696;2.972;12.108;0.774;2.902;9.737;1.44;0.214;10.187;0.899;0.193;10.838;0.595;0.214;10.187;0.899;1.302;9.875;0.833;-0.203;14.761;1.53;-1.583;14.767;1.251;0.941;14.744;1.56;2.272;14.948;1.151;0.399;15.293;0.696;0.474;16.125;2.212;-1.583;14.767;1.251;-2.418;12.05;0.899;2.272;14.948;1.151;2.972;12.108;0.774;0.193;10.838;0.595;0.359;13.17;0.972;0.907;5.583;-0.073;0.365;1.216;-2.11;-0.854;9.811;0.844;-0.652;5.603;2.128;-0.652;5.603;2.128;-0.222;0.822;1.7
-2.367;11.978;1.166;-2.656;9.481;1.325;0.273;10.106;1.177;-0.794;9.729;1.12;1.361;9.797;1.105;0.956;5.525;0.111;0.417;13.088;1.286;0.451;15.213;1.035;3.046;12.035;1.121;2.973;9.682;1.845;0.273;10.106;1.177;0.251;10.76;0.88;0.273;10.106;1.177;1.361;9.797;1.105;-0.147;14.671;1.865;-1.527;14.683;1.589;0.997;14.655;1.89;2.325;14.873;1.477;0.451;15.213;1.035;0.53;16.032;2.557;-1.527;14.683;1.589;-2.367;11.978;1.166;2.325;14.873;1.477;3.046;12.035;1.121;0.251;10.76;0.88;0.417;13.088;1.286;0.956;5.525;0.111;0.422;1.241;-2.097;-0.794;9.729;1.12;-0.597;5.529;2.433;-0.597;5.529;2.433;-0.094;0.74;2.608
-2.311;11.9;1.471;-2.62;9.401;1.538;0.332;10.022;1.505;-0.735;9.647;1.452;1.42;9.714;1.423;1.002;5.464;0.343;0.47;13.004;1.644;0.496;15.132;1.411;3.11;11.958;1.508;3.042;9.616;2.269;0.332;10.022;1.505;0.308;10.68;1.216;0.332;10.022;1.505;1.42;9.714;1.423;-0.098;14.579;2.238;-1.478;14.596;1.963;1.047;14.568;2.26;2.373;14.794;1.844;0.496;15.132;1.411;0.58;15.939;2.939;-1.478;14.596;1.963;-2.311;11.9;1.471;2.373;14.794;1.844;3.11;11.958;1.508;0.308;10.68;1.216;0.47;13.004;1.644;1.002;5.464;0.343;0.486;1.298;-2.084;-0.735;9.647;1.452;-0.534;5.439;2.739;-0.534;5.439;2.739;0.018;0.69;3.339
-2.253;11.832;1.828;-2.572;9.334;1.81;0.39;9.955;1.891;-0.68;9.583;1.848;1.475;9.643;1.792;1.047;5.413;0.642;0.518;12.936;2.051;0.533;15.066;1.829;3.16;11.895;1.928;3.105;9.554;2.694;0.39;9.955;1.891;0.364;10.615;1.608;0.39;9.955;1.891;1.475;9.643;1.792;-0.056;14.506;2.655;-1.436;14.521;2.38;1.089;14.5;2.673;2.414;14.73;2.257;0.533;15.066;1.829;0.621;15.867;3.36;-1.436;14.521;2.38;-2.253;11.832;1.828;2.414;14.73;2.257;3.16;11.895;1.928;0.364;10.615;1.608;0.518;12.936;2.051;1.047;5.413;0.642;0.559;1.413;-2.055;-0.68;9.583;1.848;-0.466;5.346;3.034;-0.466;5.346;3.034;0.116;0.621;3.779
-2.193;11.791;2.241;-2.515;9.295;2.151;0.446;9.92;2.334;-0.627;9.555;2.306;1.527;9.602;2.215;1.091;5.383;1.029;0.56;12.904;2.506;0.561;15.034;2.288;3.193;11.866;2.37;3.16;9.514;3.101;0.446;9.92;2.334;0.42;10.583;2.057;0.446;9.92;2.334;1.527;9.602;2.215;-0.022;14.469;3.114;-1.403;14.478;2.841;1.122;14.471;3.129;2.448;14.7;2.714;0.561;15.034;2.288;0.653;15.835;3.819;-1.403;14.478;2.841;-2.193;11.791;2.241;2.448;14.7;2.714;3.193;11.866;2.37;0.42;10.583;2.057;0.56;12.904;2.506;1.091;5.383;1.029;0.648;1.613;-1.988;-0.627;9.555;2.306;-0.406;5.27;3.301;-0.406;5.27;3.301;0.182;0.524;3.89
