right_humerus-x;right_humerus-y;right_humerus-z;right_radius-x;right_radius-y;right_radius-z;pelvis-x;pelvis-y;pelvis-z;pelvis_right_femur-x;pelvis_right_femur-y;pelvis_right_femur-z;pelvis_left_femur-x;pelvis_left_femur-y;pelvis_left_femur-z;left_femur_tibia-x;left_femur_tibia-y;left_femur_tibia-z;spine1-x;spine1-y;spine1-z;spine2-x;spine2-y;spine2-z;left_humerus-x;left_humerus-y;left_humerus-z;left_radius-x;left_radius-y;left_radius-z;pelvis-x;pelvis-y;pelvis-z;pelvis_spine1-x;pelvis_spine1-y;pelvis_spine1-z;pelvis-x;pelvis-y;pelvis-z;pelvis_left_femur-x;pelvis_left_femur-y;pelvis_left_femur-z;right_manubrium-x;right_manubrium-y;right_manubrium-z;right_clavicle-x;right_clavicle-y;right_clavicle-z;left_manubrium-x;left_manubrium-y;left_manubrium-z;left_clavicle-x;left_clavicle-y;left_clavicle-z;spine2-x;spine2-y;spine2-z;neck-x;neck-y;neck-z;right_clavicle-x;right_clavicle-y;right_clavicle-z;right_humerus-x;right_humerus-y;right_humerus-z;left_clavicle-x;left_clavicle-y;left_clavicle-z;left_humerus-x;left_humerus-y;left_humerus-z;pelvis_spine1-x;pelvis_spine1-y;pelvis_spine1-z;spine1-x;spine1-y;spine1-z;left_femur_tibia-x;left_femur_tibia-y;left_femur_tibia-z;left_tibia_foot-x;left_tibia_foot-y;left_tibia_foot-z;pelvis_right_femur-x;pelvis_right_femur-y;pelvis_right_femur-z;right_femur_tibia-x;right_femur_tibia-y;right_femur_tibia-z;right_femur_tibia-x;right_femur_tibia-y;right_femur_tibia-z;right_tibia_foot-x;right_tibia_foot-y;right_tibia_foot-z
-2.607;12.206;0.036;-2.803;9.769;0.642;0.0;10.351;0.0;-1.066;9.972;-0.052;1.089;10.04;-0.044;0.726;5.69;-0.632;0.145;13.341;-0.078;0.217;15.445;-0.465;2.68;12.208;-0.395;2.638;9.788;0.063;0.0;10.351;0.0;-0.019;10.991;-0.326;0.0;10.351;0.0;1.089;10.04;-0.044;-0.405;14.966;0.386;-1.779;14.948;0.079;0.738;14.936;0.436;2.078;15.065;0.027;0.217;15.445;-0.465;0.264;16.327;1.023;-1.779;14.948;0.079;-2.607;12.206;0.036;2.078;15.065;0.027;2.68;12.208;-0.395;-0.019;10.991;-0.326;0.145;13.341;-0.078;0.726;5.69;-0.632;0.233;1.156;-2.279;-1.066;9.972;-0.052;-0.831;5.665;0.841;-0.831;5.665;0.841;-0.733;1.46;-1.511
-2.566;12.214;0.144;-2.76;9.765;0.702;0.031;10.362;0.144;-1.037;9.988;0.089;1.118;10.046;0.1;0.747;5.708;-0.571;0.178;13.35;0.09;0.253;15.459;-0.275;2.723;12.219;-0.197;2.667;9.799;0.261;0.031;10.362;0.144;0.016;11.003;-0.181;0.031;10.362;0.144;1.118;10.046;0.1;-0.377;14.97;0.566;-1.748;14.957;0.248;0.766;14.94;0.625;2.112;15.072;0.234;0.253;15.459;-0.275;0.292;16.329;1.22;-1.748;14.957;0.248;-2.566;12.214;0.144;2.112;15.072;0.234;2.723;12.219;-0.197;0.016;11.003;-0.181;0.178;13.35;0.09;0.747;5.708;-0.571;0.239;1.204;-2.293;-1.037;9.988;0.089;-0.797;5.722;1.158;-0.797;5.722;1.158;-0.693;1.491;-1.147
-2.529;12.221;0.273;-2.726;9.758;0.763;0.064;10.371;0.297;-1.007;10.004;0.242;1.149;10.048;0.25;0.767;5.727;-0.511;0.213;13.357;0.282;0.287;15.471;-0.052;2.771;12.232;0.026;2.7;9.814;0.493;0.064;10.371;0.297;0.052;11.014;-0.024;0.064;10.371;0.297;1.149;10.048;0.25;-0.347;14.97;0.778;-1.717;14.962;0.453;0.795;14.94;0.844;2.145;15.08;0.468;0.287;15.471;-0.052;0.322;16.325;1.453;-1.717;14.962;0.453;-2.529;12.221;0.273;2.145;15.08;0.468;2.771;12.232;0.026;0.052;11.014;-0.024;0.213;13.357;0.282;0.767;5.727;-0.511;0.237;1.257;-2.315;-1.007;10.004;0.242;-0.756;5.788;1.494;-0.756;5.788;1.494;-0.615;1.469;-0.638
-2.498;12.224;0.432;-2.709;9.747;0.84;0.097;10.372;0.468;-0.976;10.01;0.412;1.18;10.044;0.415;0.787;5.741;-0.441;0.247;13.355;0.499;0.319;15.474;0.202;2.82;12.24;0.272;2.736;9.827;0.763;0.097;10.372;0.468;0.087;11.018;0.153;0.097;10.372;0.468;1.18;10.044;0.415;-0.317;14.958;1.021;-1.686;14.958;0.694;0.825;14.929;1.089;2.176;15.082;0.723;0.319;15.474;0.202;0.355;16.31;1.716;-1.686;14.958;0.694;-2.498;12.224;0.432;2.176;15.082;0.723;2.82;12.24;0.272;0.087;11.018;0.153;0.247;13.355;0.499;0.787;5.741;-0.441;0.233;1.31;-2.332;-0.976;10.01;0.412;-0.711;5.846;1.822;-0.711;5.846;1.822;-0.506;1.399;-0.025
-2.473;12.215;0.618;-2.704;9.726;0.929;0.13;10.357;0.662;-0.945;10.002;0.607;1.211;10.025;0.601;0.808;5.744;-0.354;0.28;13.338;0.745;0.347;15.462;0.485;2.869;12.234;0.552;2.771;9.831;1.085;0.13;10.357;0.662;0.122;11.007;0.355;0.13;10.357;0.662;1.211;10.025;0.601;-0.288;14.93;1.294;-1.658;14.938;0.969;0.854;14.902;1.363;2.205;15.072;1.004;0.347;15.462;0.485;0.387;16.278;2.01;-1.658;14.938;0.969;-2.473;12.215;0.618;2.205;15.072;1.004;2.869;12.234;0.552;0.122;11.007;0.355;0.28;13.338;0.745;0.808;5.744;-0.354;0.233;1.362;-2.35;-0.945;10.002;0.607;-0.665;5.891;2.165;-0.665;5.891;2.165;-0.374;1.305;0.715
-2.456;12.188;0.836;-2.714;9.692;1.049;0.161;10.323;0.881;-0.915;9.972;0.827;1.241;9.988;0.812;0.828;5.727;-0.228;0.311;13.3;1.015;0.372;15.428;0.793;2.919;12.21;0.856;2.811;9.818;1.435;0.161;10.323;0.881;0.154;10.976;0.582;0.161;10.323;0.881;1.241;9.988;0.812;-0.26;14.88;1.594;-1.631;14.896;1.273;0.882;14.854;1.66;2.231;15.043;1.306;0.372;15.428;0.793;0.417;16.225;2.329;-1.631;14.896;1.273;-2.456;12.188;0.836;2.231;15.043;1.306;2.919;12.21;0.856;0.154;10.976;0.582;0.311;13.3;1.015;0.828;5.727;-0.228;0.24;1.396;-2.327;-0.915;9.972;0.827;-0.62;5.91;2.503;-0.62;5.91;2.503;-0.234;1.207;1.524
-2.438;12.146;1.085;-2.725;9.646;1.196;0.19;10.272;1.135;-0.888;9.926;1.08;1.268;9.933;1.057;0.848;5.697;-0.077;0.342;13.244;1.32;0.396;15.376;1.133;2.965;12.167;1.193;2.85;9.786;1.817;0.19;10.272;1.135;0.185;10.929;0.844;0.19;10.272;1.135;1.268;9.933;1.057;-0.235;14.813;1.924;-1.605;14.837;1.605;0.908;14.789;1.991;2.256;14.995;1.64;0.396;15.376;1.133;0.443;16.155;2.677;-1.605;14.837;1.605;-2.438;12.146;1.085;2.256;14.995;1.64;2.965;12.167;1.193;0.185;10.929;0.844;0.342;13.244;1.32;0.848;5.697;-0.077;0.256;1.432;-2.307;-0.888;9.926;1.08;-0.582;5.904;2.849;-0.582;5.904;2.849;-0.111;1.136;2.336
-2.417;12.09;1.363;-2.729;9.591;1.381;0.216;10.207;1.425;-0.864;9.867;1.371;1.292;9.864;1.338;0.867;5.651;0.125;0.37;13.175;1.652;0.418;15.309;1.493;3.004;12.106;1.56;2.881;9.737;2.225;0.216;10.207;1.425;0.213;10.867;1.14;0.216;10.207;1.425;1.292;9.864;1.338;-0.211;14.734;2.276;-1.582;14.764;1.957;0.931;14.713;2.343;2.278;14.931;1.996;0.418;15.309;1.493;0.466;16.074;3.044;-1.582;14.764;1.957;-2.417;12.09;1.363;2.278;14.931;1.996;3.004;12.106;1.56;0.213;10.867;1.14;0.37;13.175;1.652;0.867;5.651;0.125;0.285;1.464;-2.252;-0.864;9.867;1.371;-0.55;5.876;3.207;-0.55;5.876;3.207;-0.014;1.088;3.093
-2.387;12.032;1.68;-2.715;9.535;1.618;0.24;10.142;1.761;-0.841;9.809;1.71;1.314;9.793;1.667;0.883;5.604;0.377;0.397;13.106;2.021;0.442;15.242;1.88;3.034;12.04;1.95;2.905;9.677;2.637;0.24;10.142;1.761;0.24;10.805;1.483;0.24;10.142;1.761;1.314;9.793;1.667;-0.188;14.659;2.657;-1.558;14.694;2.335;0.954;14.639;2.726;2.3;14.864;2.381;0.442;15.242;1.88;0.487;15.998;3.435;-1.558;14.694;2.335;-2.387;12.032;1.68;2.3;14.864;2.381;3.034;12.04;1.95;0.24;10.805;1.483;0.397;13.106;2.021;0.883;5.604;0.377;0.328;1.525;-2.186;-0.841;9.809;1.71;-0.525;5.83;3.573;-0.525;5.83;3.573;0.047;1.047;3.69
-2.349;11.986;2.044;-2.688;9.493;1.922;0.264;10.093;2.148;-0.82;9.768;2.101;1.335;9.737;2.046;0.896;5.565;0.704;0.425;13.055;2.426;0.467;15.191;2.294;3.059;11.985;2.358;2.934;9.621;3.04;0.264;10.093;2.148;0.267;10.757;1.873;0.264;10.093;2.148;1.335;9.737;2.046;-0.163;14.604;3.068;-1.532;14.641;2.739;0.979;14.586;3.138;2.326;14.808;2.794;0.467;15.191;2.294;0.509;15.944;3.851;-1.532;14.641;2.739;-2.349;11.986;2.044;2.326;14.808;2.794;3.059;11.985;2.358;0.267;10.757;1.873;0.425;13.055;2.426;0.896;5.565;0.704;0.388;1.628;-2.081;-0.82;9.768;2.101;-0.501;5.78;3.944;-0.501;5.78;3.944;0.078;0.998;4.082
