pelvis_spine1-x;pelvis_spine1-y;pelvis_spine1-z;spine1-x;spine1-y;spine1-z;pelvis_left_femur-x;pelvis_left_femur-y;pelvis_left_femur-z;left_femur_tibia-x;left_femur_tibia-y;left_femur_tibia-z;pelvis-x;pelvis-y;pelvis-z;pelvis_left_femur-x;pelvis_left_femur-y;pelvis_left_femur-z;right_clavicle-x;right_clavicle-y;right_clavicle-z;right_humerus-x;right_humerus-y;right_humerus-z;left_manubrium-x;left_manubrium-y;left_manubrium-z;left_clavicle-x;left_clavicle-y;left_clavicle-z;pelvis_right_femur-x;pelvis_right_femur-y;pelvis_right_femur-z;right_femur_tibia-x;right_femur_tibia-y;right_femur_tibia-z;right_humerus-x;right_humerus-y;right_humerus-z;right_radius-x;right_radius-y;right_radius-z;left_clavicle-x;left_clavicle-y;left_clavicle-z;left_humerus-x;left_humerus-y;left_humerus-z;left_femur_tibia-x;left_femur_tibia-y;left_femur_tibia-z;left_tibia_foot-x;left_tibia_foot-y;left_tibia_foot-z;right_manubrium-x;right_manubrium-y;right_manubrium-z;right_clavicle-x;right_clavicle-y;right_clavicle-z;right_femur_tibia-x;right_femur_tibia-y;right_femur_tibia-z;right_tibia_foot-x;right_tibia_foot-y;right_tibia_foot-z;pelvis-x;pelvis-y;pelvis-z;pelvis_right_femur-x;pelvis_right_femur-y;pelvis_right_femur-z;spine1-x;spine1-y;spine1-z;spine2-x;spine2-y;spine2-z;pelvis-x;pelvis-y;pelvis-z;pelvis_spine1-x;pelvis_spine1-y;pelvis_spine1-z;left_humerus-x;left_humerus-y;left_humerus-z;left_radius-x;left_radius-y;left_radius-z;spine2-x;spine2-y;spine2-z;neck-x;neck-y;neck-z
-0.016;10.986;-0.335;0.134;13.333;-0.052;1.086;10.031;-0.043;0.751;5.713;-0.844;0.0;10.351;0.0;1.086;10.031;-0.043;-1.811;14.924;0.033;-2.624;12.187;-0.187;0.694;14.938;0.467;2.059;15.062;0.146;-1.069;9.979;-0.043;-0.833;5.741;1.137;-2.624;12.187;-0.187;-2.859;9.72;0.265;2.059;15.062;0.146;2.809;12.248;-0.322;0.751;5.713;-0.844;0.297;1.255;-2.697;-0.447;14.956;0.382;-1.811;14.924;0.033;-0.833;5.741;1.137;-0.732;1.46;-1.072;0.0;10.351;0.0;-1.069;9.979;-0.043;0.134;13.333;-0.052;0.197;15.435;-0.453;0.0;10.351;0.0;-0.016;10.986;-0.335;2.809;12.248;-0.322;2.61;9.811;-0.02;0.197;15.435;-0.453;0.219;16.306;1.042
-0.001;10.971;-0.224;0.152;13.315;0.077;1.098;10.01;0.064;0.753;5.7;-0.774;0.013;10.333;0.108;1.098;10.01;0.064;-1.791;14.911;0.171;-2.607;12.175;-0.061;0.714;14.916;0.605;2.077;15.042;0.276;-1.058;9.965;0.063;-0.814;5.745;1.302;-2.607;12.175;-0.061;-2.843;9.706;0.378;2.077;15.042;0.276;2.82;12.228;-0.201;0.753;5.7;-0.774;0.282;1.252;-2.648;-0.427;14.936;0.52;-1.791;14.911;0.171;-0.814;5.745;1.302;-0.708;1.427;-0.836;0.013;10.333;0.108;-1.058;9.965;0.063;0.152;13.315;0.077;0.217;15.419;-0.312;0.013;10.333;0.108;-0.001;10.971;-0.224;2.82;12.228;-0.201;2.616;9.793;0.117;0.217;15.419;-0.312;0.239;16.285;1.186
0.023;10.925;0.004;0.178;13.251;0.421;1.104;9.937;0.264;0.753;5.677;-0.797;0.025;10.279;0.319;1.104;9.937;0.264;-1.765;14.868;0.555;-2.577;12.161;0.091;0.732;14.826;1.031;2.098;14.983;0.73;-1.052;9.931;0.267;-0.837;5.89;2.008;-2.577;12.161;0.091;-2.875;9.667;0.285;2.098;14.983;0.73;2.886;12.165;0.355;0.753;5.677;-0.797;0.224;1.333;-2.887;-0.408;14.85;0.929;-1.765;14.868;0.555;-0.837;5.89;2.008;-0.495;1.176;1.067;0.025;10.279;0.319;-1.052;9.931;0.267;0.178;13.251;0.421;0.25;15.371;0.13;0.025;10.279;0.319;0.023;10.925;0.004;2.886;12.165;0.355;2.63;9.774;0.888;0.25;15.371;0.13;0.254;16.193;1.653
0.036;10.863;0.256;0.194;13.179;0.728;1.113;9.866;0.496;0.757;5.632;-0.664;0.036;10.212;0.561;1.113;9.866;0.496;-1.75;14.791;0.891;-2.568;12.101;0.343;0.746;14.742;1.367;2.111;14.91;1.066;-1.043;9.87;0.507;-0.816;5.891;2.382;-2.568;12.101;0.343;-2.877;9.604;0.456;2.111;14.91;1.066;2.918;12.1;0.672;0.757;5.632;-0.664;0.225;1.353;-2.882;-0.393;14.767;1.266;-1.75;14.791;0.891;-0.816;5.891;2.382;-0.417;1.116;1.87;0.036;10.212;0.561;-1.043;9.87;0.507;0.194;13.179;0.728;0.263;15.303;0.476;0.036;10.212;0.561;0.036;10.863;0.256;2.918;12.1;0.672;2.642;9.713;1.215;0.263;15.303;0.476;0.269;16.109;2.008
0.052;10.806;0.561;0.216;13.103;1.116;1.119;9.791;0.768;0.737;5.602;-0.539;0.047;10.147;0.848;1.119;9.791;0.768;-1.725;14.71;1.328;-2.556;12.043;0.693;0.773;14.647;1.796;2.132;14.831;1.481;-1.037;9.819;0.792;-0.774;5.931;2.844;-2.556;12.043;0.693;-2.872;9.544;0.705;2.132;14.831;1.481;2.942;12.029;1.037;0.737;5.602;-0.539;0.196;1.44;-2.967;-0.368;14.676;1.7;-1.725;14.71;1.328;-0.774;5.931;2.844;-0.313;1.134;2.768;0.047;10.147;0.848;-1.037;9.819;0.792;0.216;13.103;1.116;0.286;15.234;0.924;0.047;10.147;0.848;0.052;10.806;0.561;2.942;12.029;1.037;2.66;9.646;1.591;0.286;15.234;0.924;0.301;16.014;2.468
0.066;10.746;0.899;0.233;13.028;1.513;1.127;9.719;1.079;0.725;5.561;-0.318;0.058;10.083;1.175;1.127;9.719;1.079;-1.707;14.625;1.766;-2.544;11.976;1.071;0.793;14.559;2.221;2.148;14.753;1.896;-1.029;9.765;1.12;-0.735;5.93;3.267;-2.544;11.976;1.071;-2.865;9.478;1.009;2.148;14.753;1.896;2.959;11.96;1.407;0.725;5.561;-0.318;0.191;1.506;-2.923;-0.348;14.589;2.132;-1.707;14.625;1.766;-0.735;5.93;3.267;-0.225;1.142;3.466;0.058;10.083;1.175;-1.029;9.765;1.12;0.233;13.028;1.513;0.301;15.162;1.363;0.058;10.083;1.175;0.066;10.746;0.899;2.959;11.96;1.407;2.68;9.575;1.956;0.301;15.162;1.363;0.327;15.924;2.917
0.083;10.691;1.284;0.251;12.96;1.944;1.134;9.651;1.439;0.709;5.52;-0.029;0.07;10.024;1.549;1.134;9.651;1.439;-1.689;14.55;2.233;-2.526;11.914;1.489;0.813;14.479;2.676;2.165;14.683;2.343;-1.02;9.718;1.501;-0.694;5.925;3.717;-2.526;11.914;1.489;-2.854;9.421;1.353;2.165;14.683;2.343;2.967;11.891;1.831;0.709;5.52;-0.029;0.194;1.608;-2.848;-0.328;14.51;2.592;-1.689;14.55;2.233;-0.694;5.925;3.717;-0.137;1.155;4.111;0.07;10.024;1.549;-1.02;9.718;1.501;0.251;12.96;1.944;0.317;15.097;1.831;0.07;10.024;1.549;0.083;10.691;1.284;2.967;11.891;1.831;2.706;9.509;2.401;0.317;15.097;1.831;0.353;15.841;3.392
0.1;10.642;1.713;0.266;12.903;2.397;1.144;9.592;1.85;0.702;5.474;0.35;0.084;9.972;1.973;1.144;9.592;1.85;-1.676;14.488;2.712;-2.505;11.86;1.931;0.828;14.416;3.142;2.179;14.626;2.805;-1.009;9.675;1.933;-0.657;5.897;4.168;-2.505;11.86;1.931;-2.842;9.372;1.733;2.179;14.626;2.805;2.97;11.831;2.293;0.702;5.474;0.35;0.22;1.729;-2.692;-0.313;14.445;3.063;-1.676;14.488;2.712;-0.657;5.897;4.168;-0.061;1.14;4.665;0.084;9.972;1.973;-1.009;9.675;1.933;0.266;12.903;2.397;0.328;15.041;2.306;0.084;9.972;1.973;0.1;10.642;1.713;2.97;11.831;2.293;2.732;9.453;2.892;0.328;15.041;2.306;0.371;15.776;3.872
0.119;10.604;2.19;0.279;12.865;2.878;1.157;9.547;2.317;0.701;5.428;0.825;0.1;9.935;2.45;1.157;9.547;2.317;-1.668;14.447;3.21;-2.481;11.822;2.403;0.838;14.376;3.629;2.188;14.589;3.291;-0.995;9.646;2.419;-0.619;5.851;4.622;-2.481;11.822;2.403;-2.827;9.34;2.15;2.188;14.589;3.291;2.964;11.787;2.793;0.701;5.428;0.825;0.272;1.901;-2.476;-0.304;14.403;3.553;-1.668;14.447;3.21;-0.619;5.851;4.622;0.011;1.1;5.13;0.1;9.935;2.45;-0.995;9.646;2.419;0.279;12.865;2.878;0.334;15.004;2.796;0.1;9.935;2.45;0.119;10.604;2.19;2.964;11.787;2.793;2.759;9.416;3.43;0.334;15.004;2.796;0.38;15.734;4.364
0.14;10.586;2.715;0.288;12.853;3.385;1.172;9.523;2.84;0.712;5.384;1.407;0.119;9.918;2.978;1.172;9.523;2.84;-1.667;14.434;3.723;-2.455;11.806;2.901;0.841;14.368;4.131;2.192;14.579;3.793;-0.978;9.635;2.956;-0.582;5.789;5.067;-2.455;11.806;2.901;-2.806;9.329;2.606;2.192;14.579;3.793;2.95;11.769;3.319;0.712;5.384;1.407;0.35;2.133;-2.173;-0.301;14.389;4.058;-1.667;14.434;3.723;-0.582;5.789;5.067;0.074;1.033;5.485;0.119;9.918;2.978;-0.978;9.635;2.956;0.288;12.853;3.385;0.332;14.992;3.298;0.119;9.918;2.978;0.14;10.586;2.715;2.95;11.769;3.319;2.783;9.404;3.991;0.332;14.992;3.298;0.378;15.725;4.864
