right_humerus-x;right_humerus-y;right_humerus-z;right_radius-x;right_radius-y;right_radius-z;pelvis-x;pelvis-y;pelvis-z;pelvis_right_femur-x;pelvis_right_femur-y;pelvis_right_femur-z;pelvis_left_femur-x;pelvis_left_femur-y;pelvis_left_femur-z;left_femur_tibia-x;left_femur_tibia-y;left_femur_tibia-z;spine1-x;spine1-y;spine1-z;spine2-x;spine2-y;spine2-z;left_humerus-x;left_humerus-y;left_humerus-z;left_radius-x;left_radius-y;left_radius-z;pelvis-x;pelvis-y;pelvis-z;pelvis_spine1-x;pelvis_spine1-y;pelvis_spine1-z;pelvis-x;pelvis-y;pelvis-z;pelvis_left_femur-x;pelvis_left_femur-y;pelvis_left_femur-z;right_manubrium-x;right_manubrium-y;right_manubrium-z;right_clavicle-x;right_clavicle-y;right_clavicle-z;left_manubrium-x;left_manubrium-y;left_manubrium-z;left_clavicle-x;left_clavicle-y;left_clavicle-z;spine2-x;spine2-y;spine2-z;neck-x;neck-y;neck-z;right_clavicle-x;right_clavicle-y;right_clavicle-z;right_humerus-x;right_humerus-y;right_humerus-z;left_clavicle-x;left_clavicle-y;left_clavicle-z;left_humerus-x;left_humerus-y;left_humerus-z;pelvis_spine1-x;pelvis_spine1-y;pelvis_spine1-z;spine1-x;spine1-y;spine1-z;left_femur_tibia-x;left_femur_tibia-y;left_femur_tibia-z;left_tibia_foot-x;left_tibia_foot-y;left_tibia_foot-z;pelvis_right_femur-x;pelvis_right_femur-y;pelvis_right_femur-z;right_femur_tibia-x;right_femur_tibia-y;right_femur_tibia-z;right_femur_tibia-x;right_femur_tibia-y;right_femur_tibia-z;right_tibia_foot-x;right_tibia_foot-y;right_tibia_foot-z
-2.697;12.075;-0.289;-2.97;9.574;-0.404;0.0;10.351;0.0;-1.063;9.963;-0.055;1.091;10.051;-0.057;0.696;5.701;-0.627;0.023;13.333;0.082;-0.039;15.461;-0.145;2.742;12.401;0.394;2.731;10.294;1.671;0.0;10.351;0.0;-0.027;10.998;-0.311;0.0;10.351;0.0;1.091;10.051;-0.057;-0.665;14.876;0.634;-2.018;14.805;0.251;0.473;14.921;0.742;1.818;15.202;0.435;-0.039;15.461;-0.145;-0.103;16.284;1.376;-2.018;14.805;0.251;-2.697;12.075;-0.289;1.818;15.202;0.435;2.742;12.401;0.394;-0.027;10.998;-0.311;0.023;13.333;0.082;0.696;5.701;-0.627;0.184;1.187;-2.321;-1.063;9.963;-0.055;-0.677;5.7;0.984;-0.677;5.7;0.984;-0.621;1.498;-1.375
-2.651;12.196;-0.112;-2.949;9.7;-0.27;0.036;10.446;0.139;-1.029;10.066;0.078;1.126;10.14;0.077;0.699;5.811;-0.619;0.081;13.426;0.272;0.034;15.558;0.08;2.797;12.47;0.58;2.771;10.358;1.847;0.036;10.446;0.139;0.014;11.098;-0.162;0.036;10.446;0.139;1.126;10.14;0.077;-0.596;14.964;0.85;-1.95;14.911;0.468;0.543;14.999;0.958;1.89;15.276;0.653;0.034;15.558;0.08;-0.021;16.354;1.615;-1.95;14.911;0.468;-2.651;12.196;-0.112;1.89;15.276;0.653;2.797;12.47;0.58;0.014;11.098;-0.162;0.081;13.426;0.272;0.699;5.811;-0.619;0.171;1.363;-2.475;-1.029;10.066;0.078;-0.617;5.848;1.279;-0.617;5.848;1.279;-0.489;1.528;-0.853
-2.594;12.249;0.177;-2.908;9.753;0.051;0.065;10.467;0.418;-1.007;10.102;0.362;1.149;10.145;0.354;0.741;5.841;-0.489;0.148;13.447;0.537;0.129;15.578;0.338;2.838;12.448;0.788;2.803;10.29;1.977;0.065;10.467;0.418;0.051;11.118;0.114;0.065;10.467;0.418;1.149;10.145;0.354;-0.504;14.996;1.114;-1.862;14.96;0.741;0.635;15.015;1.215;1.985;15.269;0.903;0.129;15.578;0.338;0.09;16.379;1.872;-1.862;14.96;0.741;-2.594;12.249;0.177;1.985;15.269;0.903;2.838;12.448;0.788;0.051;11.118;0.114;0.148;13.447;0.537;0.741;5.841;-0.489;0.18;1.501;-2.576;-1.007;10.102;0.362;-0.668;6.075;2.116;-0.668;6.075;2.116;-0.091;1.324;1.554
-2.56;12.258;0.556;-2.879;9.761;0.456;0.086;10.461;0.782;-0.987;10.103;0.732;1.169;10.132;0.715;0.77;5.846;-0.223;0.187;13.44;0.89;0.18;15.571;0.687;2.864;12.421;1.104;2.832;10.243;2.253;0.086;10.461;0.782;0.075;11.111;0.476;0.086;10.461;0.782;1.169;10.132;0.715;-0.452;14.995;1.468;-1.811;14.967;1.105;0.689;15.007;1.561;2.038;15.25;1.241;0.18;15.571;0.687;0.155;16.376;2.219;-1.811;14.967;1.105;-2.56;12.258;0.556;2.038;15.25;1.241;2.864;12.421;1.104;0.075;11.111;0.476;0.187;13.44;0.89;0.77;5.846;-0.223;0.205;1.611;-2.516;-0.987;10.103;0.732;-0.693;6.188;2.731;-0.693;6.188;2.731;-0.02;1.423;2.977
-2.537;12.233;1.023;-2.849;9.734;0.982;0.102;10.433;1.241;-0.974;10.078;1.203;1.182;10.099;1.173;0.804;5.824;0.18;0.21;13.413;1.308;0.209;15.541;1.078;2.873;12.382;1.474;2.855;10.181;2.58;0.102;10.433;1.241;0.091;11.079;0.925;0.102;10.433;1.241;1.182;10.099;1.173;-0.418;14.977;1.872;-1.781;14.95;1.522;0.723;14.987;1.955;2.071;15.217;1.621;0.209;15.541;1.078;0.197;16.364;2.6;-1.781;14.95;1.522;-2.537;12.233;1.023;2.071;15.217;1.621;2.873;12.382;1.474;0.091;11.079;0.925;0.21;13.413;1.308;0.804;5.824;0.18;0.251;1.731;-2.36;-0.974;10.078;1.203;-0.717;6.254;3.374;-0.717;6.254;3.374;-0.004;1.58;4.305
-2.521;12.206;1.57;-2.821;9.705;1.601;0.111;10.405;1.78;-0.965;10.052;1.754;1.19;10.067;1.71;0.829;5.798;0.688;0.223;13.385;1.798;0.227;15.51;1.537;2.872;12.344;1.914;2.872;10.121;2.976;0.111;10.405;1.78;0.1;11.045;1.453;0.111;10.405;1.78;1.19;10.067;1.71;-0.393;14.96;2.345;-1.761;14.932;2.011;0.749;14.967;2.416;2.095;15.185;2.066;0.227;15.51;1.537;0.231;16.354;3.048;-1.761;14.932;2.011;-2.521;12.206;1.57;2.095;15.185;2.066;2.872;12.344;1.914;0.1;11.045;1.453;0.223;13.385;1.798;0.829;5.798;0.688;0.292;1.879;-2.117;-0.965;10.052;1.754;-0.722;6.278;4.011;-0.722;6.278;4.011;0.0;1.7;5.33
-2.511;12.195;2.185;-2.793;9.694;2.306;0.115;10.393;2.385;-0.962;10.043;2.372;1.193;10.051;2.317;0.849;5.776;1.311;0.23;13.373;2.344;0.237;15.492;2.045;2.86;12.319;2.401;2.879;10.071;3.406;0.115;10.393;2.385;0.104;11.026;2.045;0.115;10.393;2.385;1.193;10.051;2.317;-0.376;14.959;2.869;-1.747;14.931;2.552;0.767;14.963;2.928;2.11;15.168;2.56;0.237;15.492;2.045;0.256;16.361;3.541;-1.747;14.931;2.552;-2.511;12.195;2.185;2.11;15.168;2.56;2.86;12.319;2.401;0.104;11.026;2.045;0.23;13.373;2.344;0.849;5.776;1.311;0.336;2.077;-1.781;-0.962;10.043;2.372;-0.711;6.278;4.644;-0.711;6.278;4.644;0.024;1.754;6.132
-2.504;12.217;2.852;-2.764;9.721;3.076;0.114;10.413;3.037;-0.965;10.065;3.034;1.191;10.067;2.973;0.865;5.775;2.036;0.23;13.391;2.938;0.243;15.505;2.601;2.837;12.322;2.928;2.874;10.04;3.857;0.114;10.413;3.037;0.103;11.039;2.684;0.114;10.413;3.037;1.191;10.067;2.973;-0.363;14.988;3.442;-1.738;14.961;3.14;0.78;14.989;3.488;2.122;15.178;3.105;0.243;15.505;2.601;0.278;16.398;4.083;-1.738;14.961;3.14;-2.504;12.217;2.852;2.122;15.178;3.105;2.837;12.322;2.928;0.103;11.039;2.684;0.23;13.391;2.938;0.865;5.775;2.036;0.383;2.325;-1.337;-0.965;10.065;3.034;-0.689;6.273;5.259;-0.689;6.273;5.259;0.07;1.744;6.718
-2.502;12.281;3.552;-2.734;9.796;3.892;0.107;10.474;3.717;-0.972;10.128;3.721;1.183;10.123;3.661;0.881;5.803;2.861;0.225;13.448;3.561;0.245;15.556;3.188;2.803;12.361;3.477;2.855;10.041;4.304;0.107;10.474;3.717;0.098;11.092;3.351;0.107;10.474;3.717;1.183;10.123;3.661;-0.357;15.057;4.043;-1.734;15.033;3.754;0.787;15.052;4.079;2.127;15.224;3.683;0.245;15.556;3.188;0.292;16.472;4.655;-1.734;15.033;3.754;-2.502;12.281;3.552;2.127;15.224;3.683;2.803;12.361;3.477;0.098;11.092;3.351;0.225;13.448;3.561;0.881;5.803;2.861;0.444;2.61;-0.763;-0.972;10.128;3.721;-0.665;6.278;5.838;-0.665;6.278;5.838;0.123;1.7;7.122
-2.506;12.389;4.265;-2.704;9.923;4.737;0.094;10.576;4.406;-0.985;10.232;4.411;1.17;10.223;4.363;0.899;5.866;3.774;0.212;13.546;4.195;0.24;15.648;3.787;2.758;12.44;4.029;2.824;10.079;4.729;0.094;10.576;4.406;0.089;11.187;4.028;0.094;10.576;4.406;1.17;10.223;4.363;-0.358;15.166;4.654;-1.738;15.147;4.376;0.786;15.156;4.683;2.125;15.31;4.278;0.24;15.648;3.787;0.297;16.586;5.24;-1.738;15.147;4.376;-2.506;12.389;4.265;2.125;15.31;4.278;2.758;12.44;4.029;0.089;11.187;4.028;0.212;13.546;4.195;0.899;5.866;3.774;0.524;2.896;-0.041;-0.985;10.232;4.411;-0.648;6.303;6.373;-0.648;6.303;6.373;0.163;1.662;7.386
