0.0;10.351;0.0;-0.05;10.974;-0.355;-1.14;5.559;0.56;-1.312;1.389;-1.85;0.73;14.919;0.329;2.05;15.089;-0.13;-2.651;12.158;-0.038;-2.881;9.681;0.36;-1.808;14.888;0.154;-2.651;12.158;-0.038;-0.414;14.965;0.331;-1.808;14.888;0.154;0.0;10.351;0.0;1.101;10.085;-0.042;2.05;15.089;-0.13;2.555;12.197;-0.41;-0.05;10.974;-0.355;0.093;13.329;-0.143;-1.049;9.924;-0.022;-1.14;5.559;0.56;0.0;10.351;0.0;-1.049;9.924;-0.022;0.093;13.329;-0.143;0.176;15.429;-0.551;1.101;10.085;-0.042;0.74;5.736;-0.64;2.555;12.197;-0.41;2.516;9.773;0.028;0.176;15.429;-0.551;0.413;16.395;0.864;0.74;5.736;-0.64;0.178;1.251;-2.396
0.055;10.341;0.097;0.006;10.961;-0.262;-1.029;5.614;1.011;-1.264;1.609;-1.659;0.798;14.894;0.474;2.123;15.061;0.028;-2.597;12.157;0.048;-2.848;9.681;0.432;-1.738;14.881;0.271;-2.597;12.157;0.048;-0.346;14.945;0.468;-1.738;14.881;0.271;0.055;10.341;0.097;1.154;10.068;0.049;2.123;15.061;0.028;2.617;12.168;-0.264;0.006;10.961;-0.262;0.157;13.313;-0.027;-0.997;9.92;0.085;-1.029;5.614;1.011;0.055;10.341;0.097;-0.997;9.92;0.085;0.157;13.313;-0.027;0.253;15.419;-0.403;1.154;10.068;0.049;0.771;5.726;-0.584;2.617;12.168;-0.264;2.556;9.744;0.174;0.253;15.419;-0.403;0.488;16.366;1.025;0.771;5.726;-0.584;0.179;1.266;-2.394
0.104;10.331;0.21;0.058;10.95;-0.152;-0.912;5.702;1.477;-1.155;1.837;-1.391;0.864;14.867;0.647;2.194;15.027;0.215;-2.542;12.158;0.146;-2.819;9.679;0.498;-1.668;14.872;0.413;-2.542;12.158;0.146;-0.279;14.923;0.633;-1.668;14.872;0.413;0.104;10.331;0.21;1.2;10.048;0.156;2.194;15.027;0.215;2.678;12.133;-0.085;0.058;10.95;-0.152;0.221;13.298;0.114;-0.952;9.92;0.208;-0.912;5.702;1.477;0.104;10.331;0.21;-0.952;9.92;0.208;0.221;13.298;0.114;0.329;15.409;-0.225;1.2;10.048;0.156;0.801;5.715;-0.525;2.678;12.133;-0.085;2.596;9.711;0.357;0.329;15.409;-0.225;0.558;16.332;1.221;0.801;5.715;-0.525;0.179;1.283;-2.392
0.134;10.323;0.337;0.096;10.943;-0.024;-0.844;5.807;1.899;-0.98;1.955;-0.993;0.918;14.84;0.854;2.253;14.989;0.434;-2.492;12.158;0.263;-2.794;9.676;0.569;-1.611;14.864;0.586;-2.492;12.158;0.263;-0.225;14.902;0.829;-1.611;14.864;0.586;0.134;10.323;0.337;1.227;10.028;0.283;2.253;14.989;0.434;2.716;12.092;0.136;0.096;10.943;-0.024;0.273;13.284;0.286;-0.926;9.923;0.333;-0.844;5.807;1.899;0.134;10.323;0.337;-0.926;9.923;0.333;0.273;13.284;0.286;0.394;15.401;-0.013;1.227;10.028;0.283;0.823;5.706;-0.465;2.716;12.092;0.136;2.612;9.671;0.581;0.394;15.401;-0.013;0.611;16.297;1.451;0.823;5.706;-0.465;0.182;1.306;-2.399
0.175;10.324;0.492;0.143;10.946;0.135;-0.752;5.945;2.346;-0.724;1.914;-0.294;0.979;14.823;1.098;2.319;14.971;0.693;-2.435;12.17;0.411;-2.763;9.683;0.645;-1.547;14.864;0.804;-2.435;12.17;0.411;-0.163;14.887;1.065;-1.547;14.864;0.804;0.175;10.324;0.492;1.265;10.018;0.438;2.319;14.971;0.693;2.773;12.072;0.39;0.143;10.946;0.135;0.336;13.28;0.494;-0.889;9.935;0.485;-0.752;5.945;2.346;0.175;10.324;0.492;-0.889;9.935;0.485;0.336;13.28;0.494;0.462;15.401;0.238;1.265;10.018;0.438;0.854;5.712;-0.393;2.773;12.072;0.39;2.649;9.653;0.84;0.462;15.401;0.238;0.665;16.272;1.72;0.854;5.712;-0.393;0.189;1.347;-2.397
0.212;10.312;0.692;0.186;10.939;0.343;-0.676;6.059;2.769;-0.5;1.759;0.601;1.034;14.792;1.401;2.382;14.943;1.024;-2.373;12.168;0.599;-2.728;9.678;0.742;-1.487;14.85;1.074;-2.373;12.168;0.599;-0.108;14.857;1.356;-1.487;14.85;1.074;0.212;10.312;0.692;1.299;9.997;0.634;2.382;14.943;1.024;2.833;12.043;0.722;0.186;10.939;0.343;0.397;13.261;0.76;-0.856;9.932;0.678;-0.676;6.059;2.769;0.212;10.312;0.692;-0.856;9.932;0.678;0.397;13.261;0.76;0.528;15.387;0.546;1.299;9.997;0.634;0.885;5.714;-0.305;2.833;12.043;0.722;2.684;9.627;1.178;0.528;15.387;0.546;0.708;16.235;2.044;0.885;5.714;-0.305;0.195;1.395;-2.399
0.253;10.261;0.893;0.228;10.895;0.556;-0.611;6.108;3.131;-0.28;1.513;1.717;1.082;14.722;1.709;2.435;14.884;1.353;-2.319;12.127;0.814;-2.699;9.638;0.856;-1.437;14.795;1.369;-2.319;12.127;0.814;-0.059;14.787;1.66;-1.437;14.795;1.369;0.253;10.261;0.893;1.34;9.946;0.83;2.435;14.884;1.353;2.887;11.987;1.027;0.228;10.895;0.556;0.452;13.204;1.034;-0.815;9.884;0.872;-0.611;6.108;3.131;0.253;10.261;0.893;-0.815;9.884;0.872;0.452;13.204;1.034;0.58;15.334;0.864;1.34;9.946;0.83;0.919;5.688;-0.217;2.887;11.987;1.027;2.711;9.573;1.484;0.58;15.334;0.864;0.747;16.16;2.376;0.919;5.688;-0.217;0.204;1.421;-2.406
0.294;10.192;1.157;0.271;10.833;0.832;-0.558;6.114;3.502;-0.1;1.358;2.88;1.118;14.643;2.056;2.471;14.82;1.708;-2.27;12.065;1.076;-2.672;9.579;1.007;-1.4;14.719;1.71;-2.27;12.065;1.076;-0.024;14.702;2.005;-1.4;14.719;1.71;0.294;10.192;1.157;1.38;9.876;1.089;2.471;14.82;1.708;2.936;11.925;1.39;0.271;10.833;0.832;0.497;13.131;1.358;-0.775;9.817;1.127;-0.558;6.114;3.502;0.294;10.192;1.157;-0.775;9.817;1.127;0.497;13.131;1.358;0.613;15.264;1.218;1.38;9.876;1.089;0.945;5.653;-0.084;2.936;11.925;1.39;2.737;9.522;1.895;0.613;15.264;1.218;0.775;16.074;2.739;0.945;5.653;-0.084;0.202;1.463;-2.409
0.337;10.099;1.47;0.314;10.745;1.156;-0.493;6.076;3.89;0.056;1.29;4.002;1.153;14.538;2.447;2.507;14.728;2.111;-2.222;11.976;1.392;-2.648;9.5;1.207;-1.365;14.615;2.102;-2.222;11.976;1.392;0.011;14.59;2.398;-1.365;14.615;2.102;0.337;10.099;1.47;1.423;9.782;1.394;2.507;14.728;2.111;2.983;11.836;1.781;0.314;10.745;1.156;0.542;13.032;1.728;-0.732;9.727;1.436;-0.493;6.076;3.89;0.337;10.099;1.47;-0.732;9.727;1.436;0.542;13.032;1.728;0.645;15.168;1.619;1.423;9.782;1.394;0.967;5.595;0.104;2.983;11.836;1.781;2.769;9.439;2.306;0.645;15.168;1.619;0.805;15.96;3.149;0.967;5.595;0.104;0.204;1.512;-2.398
0.368;10.006;1.839;0.345;10.656;1.532;-0.416;6.018;4.302;0.202;1.277;4.902;1.17;14.44;2.863;2.524;14.636;2.533;-2.18;11.88;1.745;-2.617;9.417;1.456;-1.349;14.51;2.518;-2.18;11.88;1.745;0.027;14.485;2.814;-1.349;14.51;2.518;0.368;10.006;1.839;1.451;9.686;1.751;2.524;14.636;2.533;3.011;11.747;2.192;0.345;10.656;1.532;0.569;12.937;2.13;-0.704;9.639;1.81;-0.416;6.018;4.302;0.368;10.006;1.839;-0.704;9.639;1.81;0.569;12.937;2.13;0.657;15.074;2.04;1.451;9.686;1.751;0.982;5.532;0.364;3.011;11.747;2.192;2.8;9.35;2.718;0.657;15.074;2.04;0.816;15.856;3.575;0.982;5.532;0.364;0.218;1.601;-2.371
