right_clavicle-x;right_clavicle-y;right_clavicle-z;right_humerus-x;right_humerus-y;right_humerus-z;pelvis_right_femur-x;pelvis_right_femur-y;pelvis_right_femur-z;right_femur_tibia-x;right_femur_tibia-y;right_femur_tibia-z;pelvis-x;pelvis-y;pelvis-z;pelvis_right_femur-x;pelvis_right_femur-y;pelvis_right_femur-z;left_clavicle-x;left_clavicle-y;left_clavicle-z;left_humerus-x;left_humerus-y;left_humerus-z;spine1-x;spine1-y;spine1-z;spine2-x;spine2-y;spine2-z;left_manubrium-x;left_manubrium-y;left_manubrium-z;left_clavicle-x;left_clavicle-y;left_clavicle-z;spine2-x;spine2-y;spine2-z;neck-x;neck-y;neck-z;left_humerus-x;left_humerus-y;left_humerus-z;left_radius-x;left_radius-y;left_radius-z;right_humerus-x;right_humerus-y;right_humerus-z;right_radius-x;right_radius-y;right_radius-z;pelvis-x;pelvis-y;pelvis-z;pelvis_spine1-x;pelvis_spine1-y;pelvis_spine1-z;pelvis_left_femur-x;pelvis_left_femur-y;pelvis_left_femur-z;left_femur_tibia-x;left_femur_tibia-y;left_femur_tibia-z;pelvis_spine1-x;pelvis_spine1-y;pelvis_spine1-z;spine1-x;spine1-y;spine1-z;right_manubrium-x;right_manubrium-y;right_manubrium-z;right_clavicle-x;right_clavicle-y;right_clavicle-z;right_femur_tibia-x;right_femur_tibia-y;right_femur_tibia-z;right_tibia_foot-x;right_tibia_foot-y;right_tibia_foot-z;left_femur_tibia-x;left_femur_tibia-y;left_femur_tibia-z;left_tibia_foot-x;left_tibia_foot-y;left_tibia_foot-z;pelvis-x;pelvis-y;pelvis-z;pelvis_left_femur-x;pelvis_left_femur-y;pelvis_left_femur-z
-1.866;14.892;-0.028;-2.65;12.139;0.07;-1.039;9.899;0.0;-1.209;5.515;0.388;0.0;10.351;0.0;-1.039;9.899;0.0;2.018;15.073;-0.316;2.564;12.189;-0.607;0.06;13.312;-0.332;0.116;15.401;-0.8;0.679;14.923;0.093;2.018;15.073;-0.316;0.116;15.401;-0.8;0.222;16.359;0.637;2.564;12.189;-0.607;2.538;9.751;-0.255;-2.65;12.139;0.07;-2.918;9.692;0.604;0.0;10.351;0.0;-0.062;10.948;-0.396;1.107;10.109;-0.018;0.876;5.757;-0.655;-0.062;10.948;-0.396;0.06;13.312;-0.332;-0.465;14.955;0.098;-1.866;14.892;-0.028;-1.209;5.515;0.388;-1.465;1.283;-1.904;0.876;5.757;-0.655;0.538;1.227;-2.351;0.0;10.351;0.0;1.107;10.109;-0.018
-1.793;14.881;0.057;-2.589;12.13;0.122;-0.97;9.891;0.071;-1.111;5.546;0.779;0.071;10.339;0.069;-0.97;9.891;0.071;2.092;15.05;-0.18;2.633;12.169;-0.506;0.131;13.298;-0.241;0.198;15.393;-0.675;0.749;14.9;0.216;2.092;15.05;-0.18;0.198;15.393;-0.675;0.299;16.339;0.77;2.633;12.169;-0.506;2.606;9.727;-0.182;-2.589;12.13;0.122;-2.878;9.682;0.638;0.071;10.339;0.069;0.012;10.934;-0.33;1.177;10.093;0.054;0.917;5.747;-0.617;0.012;10.934;-0.33;0.131;13.298;-0.241;-0.395;14.935;0.208;-1.793;14.881;0.057;-1.111;5.546;0.779;-1.433;1.456;-1.748;0.917;5.747;-0.617;0.543;1.236;-2.355;0.071;10.339;0.069;1.177;10.093;0.054
-1.721;14.876;0.154;-2.527;12.127;0.171;-0.911;9.896;0.159;-1.016;5.618;1.201;0.134;10.336;0.158;-0.911;9.896;0.159;2.166;15.04;0.0;2.713;12.163;-0.352;0.205;13.292;-0.125;0.285;15.394;-0.524;0.817;14.885;0.37;2.166;15.04;0.0;0.285;15.394;-0.524;0.37;16.327;0.931;2.713;12.163;-0.352;2.675;9.72;-0.042;-2.527;12.127;0.171;-2.841;9.675;0.655;0.134;10.336;0.158;0.08;10.93;-0.244;1.238;10.081;0.146;0.954;5.744;-0.569;0.08;10.93;-0.244;0.205;13.292;-0.125;-0.327;14.923;0.34;-1.721;14.876;0.154;-1.016;5.618;1.201;-1.367;1.648;-1.508;0.954;5.744;-0.569;0.546;1.255;-2.356;0.134;10.336;0.158;1.238;10.081;0.146
-1.647;14.859;0.286;-2.457;12.112;0.242;-0.868;9.892;0.258;-0.94;5.693;1.586;0.181;10.32;0.263;-0.868;9.892;0.258;2.241;15.01;0.218;2.8;12.137;-0.148;0.276;13.274;0.024;0.373;15.383;-0.332;0.885;14.855;0.562;2.241;15.01;0.218;0.373;15.383;-0.332;0.442;16.3;1.134;2.8;12.137;-0.148;2.759;9.693;0.157;-2.457;12.112;0.242;-2.797;9.655;0.679;0.181;10.32;0.263;0.136;10.916;-0.137;1.282;10.053;0.255;0.982;5.727;-0.519;0.136;10.916;-0.137;0.276;13.274;0.024;-0.258;14.899;0.51;-1.647;14.859;0.286;-0.94;5.693;1.586;-1.245;1.781;-1.212;0.982;5.727;-0.519;0.548;1.263;-2.362;0.181;10.32;0.263;1.282;10.053;0.255
-1.585;14.867;0.447;-2.401;12.124;0.321;-0.838;9.915;0.376;-0.864;5.829;2.021;0.216;10.331;0.388;-0.838;9.915;0.376;2.301;15.011;0.461;2.877;12.14;0.109;0.337;13.283;0.2;0.446;15.398;-0.114;0.939;14.852;0.78;2.301;15.011;0.461;0.446;15.398;-0.114;0.5;16.298;1.363;2.877;12.14;0.109;2.822;9.701;0.453;-2.401;12.124;0.321;-2.774;9.659;0.682;0.216;10.331;0.388;0.18;10.929;-0.008;1.314;10.051;0.383;1.006;5.738;-0.458;0.18;10.929;-0.008;0.337;13.283;0.2;-0.202;14.899;0.706;-1.585;14.867;0.447;-0.864;5.829;2.021;-1.05;1.797;-0.613;1.006;5.738;-0.458;0.549;1.302;-2.362;0.216;10.331;0.388;1.314;10.051;0.383
-1.52;14.871;0.654;-2.34;12.136;0.427;-0.814;9.928;0.512;-0.793;5.958;2.42;0.244;10.333;0.536;-0.814;9.928;0.512;2.363;14.999;0.728;2.951;12.127;0.4;0.396;13.283;0.412;0.521;15.403;0.14;0.998;14.837;1.03;2.363;14.999;0.728;0.521;15.403;0.14;0.57;16.288;1.626;2.951;12.127;0.4;2.869;9.698;0.801;-2.34;12.136;0.427;-2.75;9.663;0.677;0.244;10.333;0.536;0.217;10.936;0.147;1.339;10.042;0.534;1.031;5.746;-0.39;0.217;10.936;0.147;0.396;13.283;0.412;-0.142;14.892;0.941;-1.52;14.871;0.654;-0.793;5.958;2.42;-0.808;1.7;0.164;1.031;5.746;-0.39;0.557;1.343;-2.365;0.244;10.333;0.536;1.339;10.042;0.534
-1.481;14.842;0.913;-2.292;12.117;0.563;-0.792;9.913;0.68;-0.729;6.059;2.812;0.269;10.31;0.718;-0.792;9.913;0.68;2.399;14.974;1.024;3.006;12.103;0.727;0.439;13.259;0.661;0.561;15.384;0.433;1.033;14.801;1.315;2.399;14.974;1.024;0.561;15.384;0.433;0.603;16.248;1.931;3.006;12.103;0.727;2.897;9.689;1.208;-2.292;12.117;0.563;-2.729;9.639;0.676;0.269;10.31;0.718;0.248;10.92;0.339;1.362;10.011;0.718;1.052;5.737;-0.303;0.248;10.92;0.339;0.439;13.259;0.661;-0.106;14.856;1.218;-1.481;14.842;0.913;-0.729;6.059;2.812;-0.574;1.557;1.1;1.052;5.737;-0.303;0.565;1.378;-2.369;0.269;10.31;0.718;1.362;10.011;0.718
-1.455;14.777;1.202;-2.257;12.067;0.738;-0.773;9.858;0.866;-0.704;6.102;3.165;0.289;10.251;0.922;-0.773;9.858;0.866;2.422;14.913;1.343;3.05;12.042;1.092;0.47;13.198;0.937;0.587;15.327;0.75;1.055;14.728;1.624;2.422;14.913;1.343;0.587;15.327;0.75;0.626;16.169;2.261;3.05;12.042;1.092;2.908;9.652;1.671;-2.257;12.067;0.738;-2.716;9.59;0.717;0.289;10.251;0.922;0.273;10.868;0.555;1.381;9.948;0.927;1.094;5.694;-0.18;0.273;10.868;0.555;0.47;13.198;0.937;-0.083;14.782;1.521;-1.455;14.777;1.202;-0.704;6.102;3.165;-0.422;1.398;2.159;1.094;5.694;-0.18;0.632;1.378;-2.34;0.289;10.251;0.922;1.381;9.948;0.927
-1.43;14.704;1.534;-2.219;12.013;0.953;-0.753;9.799;1.122;-0.68;6.1;3.513;0.311;10.185;1.185;-0.753;9.799;1.122;2.443;14.845;1.71;3.081;11.973;1.492;0.5;13.13;1.262;0.611;15.263;1.112;1.075;14.651;1.979;2.443;14.845;1.71;0.611;15.263;1.112;0.647;16.087;2.633;3.081;11.973;1.492;2.898;9.608;2.157;-2.219;12.013;0.953;-2.699;9.545;0.791;0.311;10.185;1.185;0.298;10.81;0.831;1.401;9.877;1.181;1.072;5.657;-0.037;0.298;10.81;0.831;0.5;13.13;1.262;-0.063;14.703;1.869;-1.43;14.704;1.534;-0.68;6.1;3.513;-0.337;1.304;3.182;1.072;5.657;-0.037;0.563;1.43;-2.359;0.311;10.185;1.185;1.401;9.877;1.181
-1.425;14.618;1.909;-2.195;11.947;1.217;-0.747;9.725;1.443;-0.646;6.06;3.884;0.319;10.105;1.502;-0.747;9.725;1.443;2.445;14.761;2.104;3.102;11.89;1.934;0.51;13.049;1.63;0.614;15.184;1.509;1.077;14.562;2.37;2.445;14.761;2.104;0.614;15.184;1.509;0.65;15.993;3.039;3.102;11.89;1.934;2.905;9.552;2.684;-2.195;11.947;1.217;-2.69;9.496;0.916;0.319;10.105;1.502;0.306;10.736;1.16;1.408;9.791;1.483;1.061;5.601;0.168;0.306;10.736;1.16;0.51;13.049;1.63;-0.061;14.611;2.256;-1.425;14.618;1.909;-0.646;6.06;3.884;-0.263;1.261;4.08;1.061;5.601;0.168;0.539;1.481;-2.334;0.319;10.105;1.502;1.408;9.791;1.483
